courier	x	y	on_time	off_time
c1	26176	16238	0	180
c2	26247	5568	30	270
c3	28812	9879	30	270
c4	28790	9931	30	270
c5	27158	15238	45	285
c6	26914	14691	60	300
c7	28921	10323	60	300
c8	24808	4542	60	300
c9	26980	14635	60	300
c10	27930	15291	75	255
c11	28445	9623	75	255
c12	15817	21912	75	255
c13	26006	7542	75	255
c14	15879	21876	75	255
c15	21972	19870	75	255
c16	24081	14380	75	255
c17	25027	12618	90	180
c18	22361	19091	90	180
c19	25087	12651	90	210
c20	25072	12656	90	210
c21	22876	17401	105	225
c22	24888	4545	105	225
c23	23348	19932	105	225
c24	24661	18302	105	225
c25	25125	13460	105	225
c26	28802	11102	105	225
c27	25162	13387	105	225
c28	26107	17140	105	225
c29	23292	19894	105	225
c30	23261	19907	105	285
c31	28521	9944	105	285
c32	27670	15961	105	285
c33	28492	11615	105	285
c34	32222	1176	120	210
c35	27325	10728	120	210
c36	27598	15878	120	210
c37	27303	10778	120	210
c38	26830	16690	120	210
c39	26164	5560	120	240
c40	29070	10233	120	240
c41	26205	5545	120	240
c42	26175	5541	120	240
c43	29155	10290	120	360
c44	29110	10272	120	360
c45	22936	14180	120	360
c46	25503	19127	135	375
c47	28035	8836	135	375
c48	27911	9407	135	375
c49	12381	24699	135	375
c50	27992	9390	135	375
c51	25577	19140	135	375
c52	28753	9854	150	330
c53	28752	9907	150	330
c54	23322	19844	150	390
c55	25047	13373	150	390
c56	23339	19925	150	390
c57	28487	11607	165	345
c58	28477	11619	165	345
c59	27346	14267	165	405
c60	28468	13132	165	405
c61	27594	15944	165	405
c62	27332	13297	165	405
c63	28776	9883	165	405
c64	26240	5560	180	270
c65	25141	13249	180	270
c66	27268	10736	180	270
c67	32158	1145	210	390
c68	28803	9906	210	390
c69	12421	24755	210	450
c70	28501	10566	210	450
c71	28803	9914	210	450
c72	25094	13250	210	450
c73	28903	10382	210	450
c74	32147	1154	210	450
c75	27667	15907	240	480
c76	20902	11762	255	495
c77	29223	11751	285	525
c78	29288	11770	285	525
c79	26085	7629	300	480
c80	26050	7549	300	480
c81	27942	15283	300	480
c82	27328	11366	300	480
c83	29251	11761	330	450
c84	28444	11615	330	450
c85	32163	1172	345	525
c86	27329	11307	345	525
c87	26359	14199	345	525
c88	26664	16669	390	480
c89	24958	18044	390	510
c90	26704	16662	390	510
c91	26666	16734	390	630
c92	28794	11094	390	630
c93	24888	18106	390	630
c94	26362	14232	405	645
c95	24591	18248	405	645
c96	29216	11756	420	660
c97	28493	11638	420	660
c98	28848	11110	435	615
c99	28791	11063	435	615
c100	29293	8563	435	615
c101	26139	7478	435	615
c102	25156	13255	435	615
c103	20968	11816	435	615
c104	28430	11620	435	615
c105	28496	11559	435	615
c106	24989	11781	435	615
c107	23607	19928	435	615
c108	27672	11075	435	615
c109	32204	1099	450	630
c110	32143	1137	450	630
c111	28778	9884	450	630
c112	25075	13244	450	690
c113	25158	13231	450	690
c114	26118	16190	465	705
c115	28776	9882	465	705
c116	24071	18903	465	705
c117	26831	10163	465	705
c118	27616	15900	465	705
c119	24025	18930	465	705
c120	27256	10758	465	705
c121	24836	11823	465	705
c122	26203	16145	465	705
c123	29304	8534	465	705
c124	27199	10810	465	705
c125	26811	10249	465	705
c126	11553	29578	480	660
c127	11486	29572	480	660
c128	28473	11597	495	675
c129	11481	29526	495	675
c130	24455	6543	495	675
c131	29166	9933	495	675
c132	25691	15804	495	735
c133	27325	14348	495	735
c134	29112	10172	495	735
c135	24234	19474	495	735
c136	24262	19477	495	735
c137	28805	9902	495	735
c138	28741	9887	495	735
c139	24399	6451	495	735
c140	29102	11481	495	735
c141	29066	9406	495	735
c142	28991	12362	495	735
c143	31788	178	495	735
c144	25242	13396	510	750
c145	24905	13260	510	750
c146	26987	14273	510	750
c147	25140	13244	510	750
c148	27948	15118	510	750
c149	29128	10196	510	750
c150	26078	15051	510	750
c151	28033	15048	510	750
c152	25443	13049	510	750
c153	28772	9915	510	750
c154	24909	13299	525	615
c155	25160	13401	525	765
c156	24375	6520	525	765
c157	24612	18250	525	765
c158	26677	16702	525	765
c159	24427	6537	525	765
c160	26038	11882	525	765
c161	26185	5567	525	765
c162	24629	18246	525	765
c163	15509	26282	525	765
c164	24964	18047	540	780
c165	24963	18114	540	780
c166	27410	10697	540	780
c167	24919	18039	540	780
c168	32157	1159	555	645
c169	23029	14184	555	645
c170	24368	6515	555	645
c171	32221	1141	555	645
c172	27314	10741	555	645
c173	25217	13384	555	645
c174	26700	16661	555	675
c175	25283	13459	555	675
c176	28522	11626	555	675
c177	26054	15045	555	795
c178	22991	14234	555	795
c179	26801	16722	555	795
c180	26815	16679	555	795
c181	32157	1110	570	750
c182	29222	11697	570	750
c183	24385	6466	570	750
c184	23221	14190	570	750
c185	26827	16690	570	750
c186	24388	6534	570	750
c187	29208	8415	570	810
c188	29291	11701	570	810
c189	32131	1172	570	810
c190	29308	11683	570	810
c191	24465	6488	570	810
c192	25153	13467	585	765
c193	25171	13394	585	825
c194	28481	9633	585	825
c195	26255	5547	585	825
c196	26187	5584	585	825
c197	27208	16632	600	780
c198	24652	18239	600	780
c199	11545	29555	600	840
c200	32183	1141	600	840
c201	23065	14982	600	840
c202	21894	32758	600	840
c203	31604	1121	600	840
c204	28469	11539	600	840
c205	24656	18256	600	840
c206	26687	7619	600	840
c207	31532	1065	600	840
c208	27961	15120	600	840
c209	32141	1143	600	840
c210	24381	8879	615	855
c211	24956	13276	615	855
c212	25112	13480	615	855
c213	25166	13198	615	855
c214	24428	8873	615	855
c215	12492	24682	615	855
c216	29188	12213	615	855
c217	28010	15047	615	855
c218	29298	11764	615	855
c219	28882	11289	615	855
c220	26010	11802	615	855
c221	27660	15909	615	855
c222	26037	15071	630	720
c223	27181	15182	630	720
c224	27666	15917	630	720
c225	27202	15172	630	720
c226	27250	15171	630	870
c227	26078	15076	630	870
c228	24894	18034	630	870
c229	26056	15071	630	870
c230	28773	9926	645	885
c231	32214	1160	645	885
c232	28487	11628	660	780
c233	26773	16699	660	780
c234	28515	11542	660	780
c235	32184	1111	660	780
