restaurant	x	y
r1	7756	2834
r2	8247	3634
r3	8123	3657
r4	7657	2593
r5	6662	2311
r6	10105	4695
r7	8023	4831
r8	5457	3346
r9	9450	3303
r10	5121	5189
r11	2007	4630
r12	8016	5162
r13	3707	2871
r14	5780	6518
r15	6689	4828
r16	7688	2934
r17	7864	1396
r18	7952	3579
r19	3973	2716
r20	7810	5501
r21	3871	5035
r22	8077	4829
r23	2191	4676
r24	7811	1873
r25	9325	3486
r26	9162	6268
r27	8752	1644
r28	8360	5174
r29	7777	5278
r30	8440	2468
r31	3449	2658
r32	8812	1750
r33	8710	6034
r34	4004	4737
r35	8523	3348
r36	9305	3351
r37	8920	6534
r38	2832	4523
r39	4802	4579
r40	9356	4254
r41	4256	4545
r42	9160	4962
r43	5534	3356
r44	9099	6352
r45	8119	4662
r46	4009	4140
r47	8254	2819
r48	7694	2481
r49	8379	1423
r50	6613	1231
r51	6680	2628
r52	6288	6606
r53	6656	2367
r54	7785	5105
r55	7679	2815
r56	7783	4557
r57	7720	3860
r58	7777	5481
r59	8906	6499
r60	8439	1407
r61	9243	5976
r62	9154	6286
r63	9295	6083
r64	4114	4589
r65	6970	3580
r66	9095	6449
r67	9412	2846
r68	7597	2737
r69	7982	2298
r70	7931	1964
r71	9155	6234
r72	8959	4187
r73	7801	604
r74	5848	6661
r75	9027	4830
r76	6017	5302
r77	5525	3349
r78	4293	4589
r79	6249	6647
r80	7905	2542
r81	7179	6359
r82	7615	6212
r83	5516	5229
r84	3693	65
r85	7087	6444
r86	8657	7267
r87	7661	2760
r88	6552	2402
r89	8094	2986
r90	8466	4926
r91	8628	4706
r92	9277	4726
r93	4158	4172
