restaurant	x	y
r1	948	8632
r2	6589	8113
r3	7996	8314
r4	9137	9440
r5	8220	11135
r6	9975	8915
r7	3078	9455
r8	10239	11023
r9	8830	6210
r10	10287	3690
r11	9508	9729
r12	8814	10325
r13	4960	9758
r14	7187	11380
r15	9325	7625
r16	9430	9973
r17	8857	10340
r18	9158	9915
r19	5232	8886
r20	9970	11299
r21	7696	7133
r22	7663	6052
r23	7861	11190
r24	7138	11528
r25	10463	8148
r26	9119	9934
r27	6591	8130
r28	8785	9384
r29	10299	10314
r30	10341	9719
r31	9006	8393
r32	10373	8267
r33	8923	6946
r34	10167	10799
r35	9541	7298
r36	5270	9361
r37	6563	8148
r38	7384	11450
r39	4635	7491
r40	9038	9661
r41	10243	9693
r42	10119	11129
r43	9698	11516
r44	8776	6667
r45	7728	7159
r46	8127	11201
r47	8715	7599
r48	10830	10958
r49	9623	8149
r50	8794	6666
r51	4791	4762
r52	8708	10979
r53	10246	10535
r54	5012	9569
r55	9777	10073
r56	9631	11614
r57	8738	8643
r58	9648	6223
r59	8780	7089
r60	8996	10194
