restaurant	x	y
r1	27378	11382
r2	24907	11834
r3	24830	12695
r4	24888	13416
r5	24947	13344
r6	27055	10078
r7	29090	8623
r8	24517	14328
r9	27220	15207
r10	24921	14308
r11	28448	9638
r12	28899	10339
r13	27996	9371
r14	26984	14629
r15	15849	21893
r16	21977	19851
r17	24158	11879
r18	22435	19103
r19	28542	12747
r20	25105	12605
r21	24598	10461
r22	27361	15090
r23	22936	17424
r24	26891	13687
r25	28060	14964
r26	27671	15952
r27	28504	9956
r28	26108	17119
r29	28492	11559
r30	27716	16225
r31	26990	10642
r32	25680	7580
r33	28849	12624
r34	25175	13474
r35	29189	11841
r36	29182	11492
r37	27243	10827
r38	25575	19106
r39	28596	9507
r40	27345	10742
r41	28355	9771
r42	28932	11435
r43	27291	16711
r44	28399	9736
r45	27978	15175
r46	25645	19951
r47	27525	15892
r48	27673	16116
r49	12455	24757
r50	27277	13355
r51	24463	8800
r52	26977	15465
r53	20854	19825
r54	23995	19471
r55	26676	16665
r56	29105	11688
r57	27637	15907
r58	23806	12640
r59	29024	11574
r60	28047	8841
r61	24153	6546
r62	25043	13375
r63	27660	16262
r64	27297	14329
r65	23053	16676
r66	22059	14145
r67	28760	9847
r68	27217	15189
r69	29138	10617
r70	16253	24767
r71	25038	11795
r72	28435	13099
r73	28903	11120
r74	27353	13310
r75	24225	19448
r76	25878	10147
r77	21354	13434
r78	28619	12766
r79	29308	11334
r80	28725	11020
r81	12855	33669
r82	3289	27267
r83	29449	10752
r84	26421	19991
r85	22365	19515
r86	29376	10524
r87	25277	7604
r88	27011	5398
r89	26943	13743
r90	27315	13575
r91	29115	11896
r92	28553	7091
r93	28486	10624
r94	28420	10611
r95	28399	9833
r96	21337	15029
r97	23881	12603
r98	26615	10111
r99	24464	6457
r100	29168	12053
r101	23193	14868
r102	24501	15834
r103	23624	19862
r104	26954	14271
r105	29093	11480
r106	25571	9976
r107	27745	15565
r108	3022	50127
r109	27662	16579
r110	28552	9684
r111	29435	11511
r112	27040	13315
r113	29144	9993
r114	27551	17297
r115	24095	14603
r116	26076	17803
r117	26549	17849
r118	26010	18255
r119	28445	13394
r120	3600	30611
r121	27934	10494
r122	24930	18063
r123	28809	11200
r124	15482	26341
r125	25515	12690
r126	29286	9989
r127	27676	11025
r128	28796	11097
r129	24926	13311
r130	26515	11383
r131	22468	15541
r132	26810	10219
r133	28960	9436
r134	25568	16660
r135	11465	29535
r136	26962	14650
r137	28790	11023
r138	27461	8419
r139	25514	17132
r140	26895	17034
r141	27721	16396
r142	26041	11822
r143	29095	9065
r144	27383	10636
r145	25739	16094
r146	24237	19448
r147	28935	11495
r148	28932	12051
r149	19282	29927
r150	28465	12846
r151	26119	17484
r152	26526	17749
r153	28600	10924
r154	28757	11092
r155	26709	14313
r156	29352	8684
r157	25762	12559
r158	22414	19551
r159	25655	15229
r160	27357	17291
r161	29372	12211
