courier	x	y	on_time	off_time
c1	16734	22992	0	180
c2	22686	18496	0	180
c3	26004	15144	0	180
c4	22710	18550	0	180
c5	28181	15522	0	180
c6	23476	19650	0	180
c7	16682	12167	0	180
c8	24077	18402	0	180
c9	20107	10140	0	240
c10	22418	3598	0	240
c11	20073	2756	0	240
c12	18832	14871	60	240
c13	22192	11567	60	240
c14	18825	10293	60	240
c15	20791	22645	60	240
c16	16653	11119	60	240
c17	17300	25223	60	240
c18	24476	12033	60	240
c19	18909	19875	60	240
c20	27893	14588	60	240
c21	20934	25325	60	240
c22	17327	25177	60	240
c23	17935	22082	60	240
c24	22137	14507	60	240
c25	24361	18721	60	240
c26	28186	11959	60	240
c27	20880	12530	60	240
c28	25304	18367	60	240
c29	22646	23736	60	240
c30	20813	12535	60	240
c31	27890	14585	60	240
c32	17923	22094	60	240
c33	28157	11887	60	240
c34	18001	17426	60	240
c35	24228	11788	60	240
c36	19115	24983	60	240
c37	20752	22632	60	240
c38	19052	24991	60	240
c39	20857	25391	60	240
c40	21874	24679	60	264
c41	24286	11517	60	265
c42	23745	16128	60	300
c43	18782	19822	60	300
c44	26668	11321	60	390
c45	17414	19615	60	480
c46	24903	16417	120	240
c47	17123	24081	120	255
c48	26624	11405	120	360
c49	26571	11380	120	360
c50	16342	21516	120	360
c51	26562	11459	120	360
c52	16878	20497	120	360
c53	20451	22264	150	300
c54	24272	21481	180	360
c55	27380	11694	180	420
c56	24874	23804	180	420
c57	19991	17029	180	420
c58	21175	9917	180	420
c59	21347	17927	180	420
c60	21160	9918	180	420
c61	20323	9582	180	450
c62	22833	19550	180	480
c63	23274	17658	210	420
c64	16559	14112	240	360
c65	18365	23629	240	377
c66	21581	14856	240	390
c67	26205	17043	240	420
c68	19407	13092	240	420
c69	25265	13893	240	420
c70	26298	12850	240	420
c71	16505	12650	240	420
c72	25707	22003	240	420
c73	25717	11771	240	420
c74	26659	16769	240	420
c75	21407	12774	240	420
c76	22902	16685	240	420
c77	24093	14814	240	420
c78	22811	16692	240	420
c79	19696	20945	240	420
c80	26389	12849	240	420
c81	25306	13979	240	420
c82	26673	16749	240	420
c83	22841	16681	240	420
c84	17626	10157	240	420
c85	25468	16216	240	420
c86	19646	25361	240	480
c87	19245	18298	240	480
c88	22043	16096	240	480
c89	22030	16008	240	480
c90	27177	6655	300	420
c91	26865	11625	300	420
c92	27526	17981	360	600
c93	20725	15621	360	600
c94	21227	19535	360	600
c95	18159	17465	360	600
c96	18134	17487	360	600
c97	23871	15383	390	450
c98	16475	21673	390	613
c99	23972	15948	390	630
c100	17840	9568	390	630
c101	27640	14350	390	630
c102	27643	14343	390	630
c103	25417	16553	390	630
c104	20484	24309	390	630
c105	21592	21846	390	657
c106	20961	24260	390	660
c107	26017	13876	420	480
c108	17279	17725	420	540
c109	24502	23078	420	585
c110	10365	30941	420	630
c111	22204	5608	420	645
c112	17913	25397	420	660
c113	17503	16717	420	660
c114	21213	19562	420	660
c115	22682	11211	420	660
c116	17884	13928	420	660
c117	25997	12925	420	660
c118	19699	17017	420	660
c119	0	34453	420	660
c120	18948	20541	420	660
c121	26056	12942	420	660
c122	21162	19538	420	660
c123	22774	13103	420	660
c124	18958	20575	420	660
c125	25634	12131	420	660
c126	25984	12913	420	660
c127	26013	12855	420	660
c128	25458	9789	420	660
c129	21428	9939	420	660
c130	21014	6798	420	660
c131	22374	15048	420	660
c132	25448	9770	420	660
c133	9941	29481	420	660
c134	26409	23432	420	660
c135	28115	17858	420	660
c136	25383	9827	420	660
c137	16624	17442	420	660
c138	25954	19100	420	660
c139	22385	15959	420	660
c140	18055	14768	420	680
c141	25418	15905	420	725
c142	24062	18098	420	765
c143	19456	11679	420	780
c144	18884	13921	435	690
c145	28700	14958	450	480
c146	24361	25175	450	660
c147	23272	12184	450	690
c148	23293	12148	450	690
c149	26599	11528	450	690
c150	25653	21692	450	690
c151	21561	18411	450	765
c152	17091	17915	465	630
c153	17006	16148	480	560
c154	25032	21863	480	600
c155	19608	13608	480	615
c156	24708	12743	480	660
c157	27035	11547	480	690
c158	22412	11946	480	690
c159	17487	14057	480	705
c160	25387	20985	480	720
c161	18877	11842	480	720
c162	26235	15513	480	720
c163	16326	22396	480	750
c164	16309	22368	480	750
c165	26369	18660	480	780
c166	16311	24214	480	825
c167	22843	10261	510	750
c168	19851	12021	510	750
c169	22816	10311	510	750
c170	19864	11965	510	750
c171	23288	15767	510	765
c172	21980	10747	510	780
c173	26863	13827	540	780
c174	19658	15788	600	780
c175	26372	12735	660	720
c176	23189	22520	660	750
c177	27241	17021	660	750
c178	27889	10904	660	780
c179	23181	14447	660	810
c180	18463	18776	660	810
c181	20952	25420	660	810
c182	22686	6914	660	810
c183	18563	19229	660	810
c184	21575	22071	660	810
c185	25240	18863	660	810
c186	27251	15161	690	810
c187	18398	12473	705	750
c188	17321	12537	705	810
c189	27716	14956	735	750
c190	22429	15291	735	810
