restaurant	x	y
r1	17179	14426
r2	16799	16929
r3	19907	18517
r4	21902	14162
r5	17219	20750
r6	19271	17299
r7	18356	10234
r8	16396	16973
r9	19686	13945
r10	17315	15301
r11	21480	13309
r12	20824	16213
r13	17666	17687
r14	20327	12855
r15	18467	18877
r16	20489	14914
r17	17777	21737
r18	19498	17803
r19	24514	3827
r20	20740	15434
r21	21364	14084
r22	16675	21906
r23	19600	13367
r24	20156	13648
r25	17443	15852
r26	18677	16884
r27	16764	11492
r28	14399	16811
r29	20170	17973
r30	17766	15661
r31	20762	14261
r32	20799	15348
r33	18868	14014
r34	16317	21558
r35	20718	12417
r36	21018	12483
r37	21073	15281
r38	17869	22535
r39	21503	12643
r40	19190	17319
r41	17459	15898
r42	16539	22085
r43	21254	14141
r44	13943	17435
r45	22194	13118
r46	19992	18873
r47	19644	16217
r48	17219	15974
r49	19201	16436
r50	21648	13995
r51	14822	16825
r52	16338	22050
r53	20674	17069
r54	16124	21720
r55	20310	11509
r56	17959	20230
r57	19287	19599
r58	20910	13615
r59	19980	19154
r60	20239	17827
r61	24035	2724
r62	16391	17286
r63	21097	13759
r64	18152	12807
r65	4742	27355
r66	17922	16660
r67	19951	18780
r68	21594	11208
r69	24501	3691
r70	19531	19201
r71	19331	8030
r72	15184	20102
r73	19623	15949
r74	13150	22467
r75	13604	17629
r76	20516	14256
r77	21577	11343
r78	20032	18241
r79	20243	12655
r80	19591	16061
r81	21523	14920
r82	21418	13407
r83	21593	14344
r84	18460	13749
r85	19077	19931
r86	17598	17761
r87	19680	13274
r88	10164	25764
r89	20820	14161
r90	21593	14856
r91	19118	13141
r92	21901	14065
r93	19823	10923
r94	16741	21691
r95	21297	14592
r96	19184	19741
r97	23521	3658
r98	17192	15632
r99	18350	20448
r100	21355	10581
r101	21166	13892
r102	18894	10211
r103	17199	15993
r104	21174	13811
r105	21701	14200
r106	19400	17879
r107	20974	13715
r108	19258	18717
r109	19671	16332
r110	14658	22205
r111	18413	19271
r112	19552	12658
r113	14261	35410
r114	14227	25424
r115	15366	17590
r116	14120	25711
r117	19654	19931
r118	19706	20346
