courier	x	y	on_time	off_time
c1	6233	12762	0	180
c2	4593	10245	0	180
c3	10135	7630	60	180
c4	3568	4603	180	256
c5	7607	4198	180	300
c6	7598	4185	180	300
c7	11517	173	180	300
c8	1977	2381	180	300
c9	11779	11990	195	300
c10	11268	8669	200	300
c11	2943	8731	240	300
c12	4526	2188	240	420
c13	4777	12383	262	480
c14	5420	4462	300	480
c15	7050	8513	300	480
c16	9674	11250	300	480
c17	1102	8007	300	480
c18	5447	4537	300	480
c19	3173	7223	300	480
c20	0	4330	300	480
c21	11892	1859	300	480
c22	12060	0	300	480
c23	24	4349	300	480
c24	13056	8058	300	480
c25	8370	11300	300	480
c26	5484	10893	300	480
c27	7837	13108	300	480
c28	12066	72	300	480
c29	2160	9038	300	480
c30	12798	1488	300	480
c31	9351	13356	300	480
c32	8011	2284	315	480
c33	8429	14189	330	450
c34	11908	6137	405	480
c35	13732	6190	480	551
c36	5732	11697	480	660
c37	10818	4262	480	660
c38	10592	4485	480	660
c39	11693	9976	480	660
c40	10258	2728	480	660
c41	3108	11143	480	660
c42	12622	4403	480	660
c43	10589	4544	480	660
c44	11272	12827	480	660
c45	8004	2915	480	660
c46	11111	10952	480	660
c47	11706	10002	480	660
c48	12582	4405	480	660
c49	8032	2883	480	660
c50	6360	5507	480	660
c51	8017	1421	480	780
c52	7474	8521	660	675
c53	10613	6077	660	780
c54	4573	1034	660	824
c55	11681	10581	660	840
c56	11696	11782	660	840
c57	3479	3992	660	840
c58	1019	4690	660	840
c59	1955	5465	660	840
c60	7061	8025	660	840
c61	11705	10512	660	840
c62	5188	4250	660	840
c63	7052	8032	660	840
c64	11643	5691	660	840
c65	10980	13049	660	840
c66	7124	8007	660	840
c67	10375	3690	660	870
c68	4353	8234	660	888
c69	6703	12783	660	900
c70	8228	8659	660	900
c71	4270	1440	660	900
c72	9067	5231	660	900
c73	5833	8095	660	900
c74	11745	1354	660	900
c75	11700	1404	660	900
c76	6421	4091	720	810
c77	5967	5537	720	840
c78	6027	9692	720	900
c79	4152	3484	720	900
c80	11471	13614	720	900
c81	8875	8656	720	900
c82	13836	5534	720	900
c83	9074	13517	720	900
c84	9152	11544	720	900
c85	2359	8853	720	930
c86	6607	9178	840	960
c87	12361	11423	840	960
c88	10191	6139	840	960
c89	9837	523	840	960
c90	3037	9443	840	960
c91	10312	9380	840	960
c92	10138	6130	840	960
c93	1104	7072	840	960
c94	2948	9160	840	960
c95	6245	10468	840	960
c96	2269	7462	840	1020
c97	6588	9927	900	975
c98	11477	636	900	979
c99	5182	4028	900	1020
c100	10112	2616	900	1020
c101	10165	2534	900	1020
c102	1907	6113	900	1050
c103	12292	5506	900	1050
c104	12307	5528	900	1050
c105	10297	11890	960	1020
