order	x	y	placement_time	restaurant	ready_time
o1	6159	4026	340	r1	359
o2	8029	7452	261	r2	283
o3	10612	5828	318	r3	331
o4	5627	6130	722	r4	729
o5	5968	9252	768	r5	793
o6	7056	6366	783	r3	803
o7	7393	7638	322	r6	334
o8	2726	7030	638	r7	648
o9	10590	7490	688	r8	708
o10	5732	6326	773	r9	789
o11	425	1780	268	r10	311
o12	7004	7016	621	r11	676
o13	8366	8149	796	r12	801
o14	8360	6306	857	r13	882
o15	298	5996	586	r11	606
o16	6543	4113	512	r14	542
o17	8624	4955	568	r15	588
o18	6750	6609	459	r16	469
o19	7705	7608	604	r9	629
o20	6091	6185	622	r16	632
o21	1430	6255	619	r17	626
o22	6682	9262	660	r18	670
o23	5884	3945	714	r19	724
o24	5346	4772	625	r20	634
o25	9562	7389	865	r6	883
o26	8385	7227	369	r21	375
o27	8854	6649	755	r22	785
o28	9345	6669	518	r2	528
o29	5364	5266	391	r2	398
o30	7893	4668	527	r16	537
o31	7679	6827	244	r23	306
o32	7220	3856	704	r24	722
o33	6737	8237	818	r25	848
o34	8815	8186	672	r26	699
o35	8420	8484	658	r27	685
o36	8580	6410	292	r28	303
o37	7616	4258	474	r3	481
o38	8533	3012	745	r20	767
o39	8858	7831	857	r6	866
o40	9342	8125	797	r29	812
o41	5372	6054	311	r14	341
o42	9848	8483	914	r9	929
o43	7606	9187	325	r30	340
o44	10455	6522	706	r31	726
o45	5604	5052	755	r32	769
o46	7845	7000	348	r33	359
o47	7582	8829	672	r34	685
o48	4632	6270	335	r35	347
o49	10581	7519	824	r9	847
o50	7192	7320	766	r36	772
o51	6382	7437	212	r37	225
o52	2849	8718	803	r4	813
o53	8416	6115	741	r15	750
o54	7174	7679	691	r38	721
o55	10105	6645	673	r6	680
o56	7703	7907	760	r16	804
o57	7572	7116	352	r39	367
o58	9387	7997	795	r40	819
o59	5784	8670	758	r41	770
o60	8198	5409	889	r20	909
o61	6327	6110	422	r42	443
o62	10356	6883	934	r43	942
o63	7997	7567	266	r21	280
o64	6733	3127	749	r44	779
o65	5670	5506	852	r45	868
o66	10142	6871	854	r9	867
o67	5652	5122	546	r46	565
o68	7554	8164	780	r29	795
o69	6393	5217	705	r47	710
o70	7486	9108	265	r37	286
o71	3391	4540	852	r46	867
o72	3307	1983	782	r48	802
o73	7258	8685	765	r49	780
o74	5703	5406	766	r34	806
o75	6317	3198	203	r23	243
o76	9009	7966	596	r50	621
o77	6436	5138	770	r16	805
o78	8146	7508	819	r14	849
o79	9793	6275	247	r42	257
o80	9558	7531	597	r31	618
o81	9028	2763	667	r51	694
o82	4582	6000	897	r34	907
o83	8041	6068	951	r52	981
o84	7814	7423	828	r11	869
o85	1670	6637	508	r53	529
o86	7757	8026	930	r20	950
o87	7562	7363	918	r9	922
o88	6956	2100	294	r54	335
o89	8754	7232	679	r31	689
o90	8236	5006	766	r55	781
o91	8113	5239	578	r16	588
o92	7382	8376	492	r56	507
o93	6167	6765	315	r20	340
o94	9549	7420	295	r57	320
o95	8110	8349	753	r40	775
o96	5465	6271	920	r20	926
o97	8276	7504	752	r49	767
o98	5729	6990	255	r2	283
o99	9369	3436	632	r14	662
o100	1724	1065	175	r58	209
o101	4895	4883	765	r46	779
o102	5619	9013	536	r41	556
o103	8999	8087	867	r42	882
o104	8437	8493	792	r59	812
o105	8289	7636	817	r60	828
o106	1722	3754	838	r17	859
o107	8731	7110	765	r42	796
o108	8553	6375	862	r8	880
o109	9184	1378	894	r20	909
o110	8513	8430	700	r61	734
o111	1446	4677	836	r19	856
o112	8845	8792	346	r16	361
o113	5937	2808	426	r24	446
o114	6330	3214	703	r24	728
o115	8545	4188	656	r26	685
o116	6788	6798	832	r62	852
o117	5178	6380	627	r63	638
o118	834	6347	473	r11	493
o119	8366	7640	567	r30	582
o120	7803	7788	326	r52	356
o121	7330	9224	696	r64	707
o122	7296	8306	820	r65	831
o123	6114	6814	897	r41	911
o124	708	6263	789	r2	799
o125	10429	6521	278	r66	303
o126	9079	3661	725	r34	761
o127	7652	5984	725	r26	757
o128	9286	1124	879	r20	894
o129	7012	6042	886	r13	899
o130	2435	6557	488	r11	518
o131	7010	6056	786	r67	825
o132	7076	8895	774	r20	794
o133	8218	6950	559	r66	594
o134	3655	3168	788	r68	805
o135	9602	7245	530	r69	531
o136	8290	7450	316	r39	345
o137	5869	5364	340	r35	350
o138	39	6039	794	r70	822
o139	8652	7818	522	r20	551
o140	8360	3324	432	r42	455
o141	8186	6340	383	r16	393
o142	6887	4591	700	r6	707
o143	3481	6720	842	r71	869
o144	7331	3059	636	r16	646
o145	7230	6184	833	r72	859
o146	5677	4380	741	r71	756
o147	7747	7565	922	r20	940
o148	7920	6999	595	r16	605
o149	8321	7539	516	r41	531
o150	10337	6643	763	r73	785
o151	3235	6903	820	r11	869
o152	7349	8446	839	r3	866
o153	7455	3862	359	r47	363
o154	7748	6223	847	r40	867
o155	10513	7457	400	r27	435
o156	4939	7293	968	r20	979
o157	7883	3701	475	r74	495
o158	8802	9629	714	r9	740
o159	7434	7372	330	r75	339
o160	9412	7718	425	r40	436
o161	10210	7255	573	r47	576
o162	4572	6912	734	r76	744
o163	6160	4068	830	r32	845
o164	3239	2404	379	r77	390
o165	8812	9383	461	r39	476
o166	6532	4045	854	r24	866
o167	8543	6760	805	r9	833
o168	9518	7400	434	r20	459
o169	4973	4845	814	r44	839
o170	197	4241	319	r11	354
o171	5662	8568	708	r45	738
o172	8855	8889	433	r78	450
o173	2808	6899	805	r6	814
o174	2535	6728	714	r41	728
o175	8250	6135	496	r79	511
o176	5239	6220	578	r80	608
o177	8287	8030	461	r9	481
o178	10609	7187	401	r81	420
o179	6451	3399	788	r82	793
o180	8170	7630	829	r60	858
o181	8303	3267	272	r55	281
o182	8775	8292	675	r9	693
o183	8102	7272	743	r76	747
o184	463	3584	313	r83	318
o185	6717	7988	789	r84	810
o186	8126	6185	765	r43	769
o187	8770	7511	937	r20	950
