courier	x	y	on_time	off_time
c1	25132	20086	0	180
c2	16165	12193	0	180
c3	22226	18493	0	180
c4	16254	23044	0	180
c5	23562	18403	0	180
c6	16319	20452	0	180
c7	22994	19625	0	180
c8	19015	14806	0	180
c9	16024	23049	0	180
c10	25596	15212	0	180
c11	24355	17795	0	180
c12	16241	23040	0	180
c13	19779	20933	0	180
c14	22165	18531	0	180
c15	25153	20049	0	180
c16	25553	15139	0	180
c17	22002	3623	0	240
c18	27659	7103	0	240
c19	19639	2730	0	240
c20	21977	3630	0	240
c21	27690	7069	0	240
c22	19591	10112	0	240
c23	20430	12562	60	240
c24	27446	14582	60	240
c25	17468	22146	60	240
c26	27685	11937	60	240
c27	17549	17426	60	240
c28	23775	11779	60	240
c29	18627	24956	60	240
c30	20258	22626	60	240
c31	18639	24983	60	240
c32	20464	25309	60	240
c33	22002	25166	60	240
c34	19128	15930	60	240
c35	18698	16415	60	240
c36	22676	25055	60	240
c37	25020	18948	60	240
c38	16712	23434	60	240
c39	18395	19921	60	240
c40	24840	20938	60	240
c41	24214	20774	60	240
c42	16899	25163	60	240
c43	21969	25148	60	240
c44	17305	13171	60	240
c45	20328	22640	60	240
c46	17331	13134	60	240
c47	18454	10266	60	240
c48	22538	14351	60	240
c49	26818	6470	60	240
c50	21874	23983	60	240
c51	24518	18364	60	240
c52	16219	11046	60	240
c53	24003	12043	60	240
c54	23553	11459	60	240
c55	22102	21834	60	240
c56	23294	20640	60	240
c57	17267	13122	60	240
c58	18392	14911	60	240
c59	22905	18565	60	240
c60	24861	18356	60	240
c61	24835	20931	60	240
c62	17321	13345	60	240
c63	20732	16038	60	240
c64	7501	26839	60	240
c65	24999	18907	60	240
c66	20723	16038	60	240
c67	22824	10558	60	240
c68	23539	11448	60	240
c69	21031	19235	60	240
c70	16178	11078	60	240
c71	24835	20997	60	240
c72	16732	10840	60	240
c73	20734	16114	60	240
c74	22012	25172	60	240
c75	24966	19000	60	240
c76	20431	12538	60	240
c77	25449	11217	60	240
c78	16784	23509	60	240
c79	21400	24629	60	264
c80	23825	11531	60	265
c81	18345	19819	60	300
c82	27179	16863	60	300
c83	18299	19829	60	300
c84	18342	19771	60	300
c85	26245	11373	60	390
c86	16941	19591	60	480
c87	24446	16401	120	240
c88	16666	24069	120	255
c89	16476	20479	120	360
c90	24008	16061	120	360
c91	21667	14264	120	360
c92	16412	20494	120	360
c93	25869	17704	120	360
c94	25822	17778	120	360
c95	19574	15472	120	360
c96	25843	17748	120	360
c97	16471	20416	120	360
c98	20007	22319	150	300
c99	23852	21522	180	360
c100	26923	11636	180	420
c101	15887	18866	180	420
c102	19382	15917	180	420
c103	23273	14004	180	420
c104	23244	14056	180	420
c105	16079	20476	180	420
c106	15941	18917	180	420
c107	16035	20490	180	420
c108	20744	9951	180	420
c109	20886	17902	180	420
c110	23690	23450	180	420
c111	19525	17045	180	420
c112	19810	9590	180	450
c113	22429	19536	180	480
c114	22868	17736	210	420
c115	16077	14160	240	360
c116	18001	23654	240	377
c117	21202	14883	240	390
c118	16867	18972	240	420
c119	20379	12690	240	420
c120	16827	18931	240	420
c121	19512	15424	240	420
c122	17544	9929	240	420
c123	24857	13960	240	420
c124	27148	7771	240	420
c125	16878	22915	240	420
c126	25064	16250	240	420
c127	17151	10169	240	420
c128	28018	14385	240	420
c129	16921	22904	240	420
c130	17468	13642	240	420
c131	17525	9957	240	420
c132	22406	16655	240	420
c133	23680	11329	240	420
c134	7896	23917	240	420
c135	16649	9555	240	420
c136	8791	32307	240	420
c137	18886	15264	240	420
c138	19904	19835	240	420
c139	26276	16780	240	420
c140	19521	15476	240	420
c141	25870	12844	240	420
c142	25381	24335	240	420
c143	17512	13663	240	420
c144	17990	10089	240	420
c145	17216	10170	240	420
c146	19846	19762	240	420
c147	25189	11793	240	420
c148	24664	18614	240	420
c149	17207	10149	240	420
c150	25197	22070	240	420
c151	16083	12695	240	420
c152	23745	11357	240	420
c153	27864	17371	240	420
c154	23640	14855	240	420
c155	21602	16102	240	480
c156	17071	9285	240	480
c157	26152	16437	240	480
c158	16394	11009	240	480
c159	19281	25400	240	480
c160	21584	16089	240	480
c161	16375	11055	240	480
c162	24203	17718	300	420
c163	26457	11628	300	420
c164	24203	17737	300	420
c165	24145	17770	300	420
c166	18974	24118	360	600
c167	19033	24122	360	600
c168	20769	19590	360	600
c169	18992	24138	360	600
c170	20744	19547	360	600
c171	20769	19549	360	600
c172	19010	24191	360	600
c173	19832	10226	360	600
c174	20283	15628	360	600
c175	23338	15326	390	450
c176	15994	21763	390	613
c177	17361	9531	390	630
c178	16351	22642	390	630
c179	17451	9503	390	630
c180	16767	19207	390	630
c181	16767	19208	390	630
c182	16775	19305	390	630
c183	20700	24601	390	630
c184	17431	9518	390	630
c185	23537	15886	390	630
c186	20001	24310	390	630
c187	16356	22616	390	630
c188	21155	21867	390	657
c189	20452	24247	390	660
c190	25630	13889	420	480
c191	16796	17737	420	540
c192	18701	18703	420	540
c193	20520	24486	420	585
c194	20519	24518	420	585
