order	x	y	placement_time	restaurant	ready_time
o1	5887	6459	0	r1	33
o2	9794	8836	347	r2	361
o3	8390	10690	393	r3	411
o4	8193	10415	399	r3	411
o5	8954	5716	407	r2	424
o6	7099	10656	428	r3	443
o7	5880	6409	428	r3	443
o8	9846	4612	494	r2	505
o9	8939	8884	497	r3	511
o10	6848	10560	521	r4	541
o11	7993	9579	535	r3	548
o12	9472	8823	537	r5	567
o13	2398	5812	550	r6	582
o14	11434	8420	553	r2	570
o15	6131	6977	554	r5	605
o16	5547	7635	556	r5	583
o17	9168	4564	557	r5	584
o18	8354	10116	565	r7	577
o19	9428	8843	569	r4	584
o20	9685	10907	582	r4	592
o21	9417	7800	584	r8	614
o22	10448	8174	584	r9	592
o23	10140	10401	612	r10	616
o24	10012	8391	618	r11	633
o25	8867	8420	621	r12	631
o26	6734	4958	634	r13	659
o27	6331	8182	636	r13	647
o28	5551	6417	641	r3	654
o29	11381	9085	642	r14	670
o30	9983	5388	646	r15	650
o31	9273	8079	650	r16	670
o32	9821	9003	652	r17	658
o33	9935	7890	657	r18	687
o34	10229	7911	657	r14	686
o35	7768	4188	664	r11	671
o36	11838	1395	665	r19	685
o37	8326	9236	666	r20	681
o38	7591	9487	666	r21	676
o39	9392	5041	668	r17	669
o40	10039	4274	669	r12	678
o41	8217	6543	670	r5	699
o42	11336	9427	670	r8	700
o43	10755	9909	671	r2	677
o44	10783	5524	674	r22	704
o45	9221	8681	675	r23	687
o46	10292	10750	676	r24	703
o47	11309	8745	678	r25	703
o48	7834	4128	678	r26	690
o49	8739	8435	686	r27	706
o50	10591	9251	688	r2	712
o51	10240	9918	688	r28	720
o52	3773	5988	692	r21	709
o53	9823	8294	693	r27	713
o54	9301	9071	693	r27	703
o55	10402	7885	695	r29	715
o56	9268	7287	700	r5	728
o57	10250	8087	705	r30	724
o58	9717	9040	709	r31	723
o59	9372	5391	714	r27	734
o60	9478	10726	717	r32	733
o61	8666	8387	718	r27	738
o62	11318	9360	721	r27	741
o63	6961	9096	722	r27	742
o64	10232	7873	725	r22	755
o65	1179	5842	725	r33	731
o66	8862	9066	726	r34	740
o67	8516	5273	727	r27	766
o68	3073	7820	728	r5	750
o69	6201	8473	733	r35	763
o70	9639	9047	735	r34	753
o71	5526	7712	736	r30	773
o72	8600	7761	737	r27	766
o73	9047	7694	739	r22	769
o74	4811	5838	741	r20	751
o75	10706	9855	741	r29	761
o76	5046	7390	744	r34	753
o77	10302	8811	744	r25	775
o78	9092	9046	744	r2	751
o79	7787	8034	750	r27	760
o80	6159	4750	757	r31	775
o81	11416	7273	769	r27	789
o82	7673	8324	770	r27	787
o83	1491	8213	772	r36	785
o84	6133	7283	778	r27	798
o85	6799	7336	780	r27	800
o86	7262	7693	783	r29	803
o87	10210	9607	790	r37	806
o88	9246	6874	790	r27	810
o89	10316	7874	793	r22	823
