order	x	y	placement_time	restaurant	ready_time
o1	30492	13894	477	r1	492
o2	30748	13569	588	r2	606
o3	28458	20510	756	r3	757
o4	23990	18363	626	r4	703
o5	25534	13300	314	r5	329
o6	30153	15760	172	r6	190
o7	27876	13012	695	r7	722
o8	24278	16636	545	r8	553
o9	28899	14153	634	r9	647
o10	29642	12695	670	r10	682
o11	0	54141	595	r11	621
o12	24680	14043	104	r12	134
o13	27501	16689	358	r13	364
o14	26721	12497	338	r14	356
o15	26053	14238	704	r15	747
o16	22881	17223	693	r16	725
o17	27931	18264	741	r3	751
o18	28952	14185	172	r17	204
o19	25601	14397	706	r18	731
o20	25475	14961	352	r5	363
o21	28956	13088	607	r19	638
o22	29363	16707	480	r20	492
o23	31045	13908	521	r10	526
o24	28707	12937	830	r21	863
o25	24591	14782	384	r22	396
o26	27632	12636	473	r23	485
o27	25330	13724	603	r24	631
o28	30190	13132	697	r9	708
o29	27552	10052	547	r25	559
o30	29020	18244	545	r26	576
o31	22573	18632	224	r27	226
o32	23938	18368	480	r13	503
o33	29988	14111	598	r28	640
o34	28543	13412	691	r29	732
o35	25658	16741	368	r23	393
o36	28319	7023	282	r30	289
o37	25755	20544	730	r31	775
o38	27860	19023	734	r31	746
o39	26955	19645	663	r32	675
o40	29298	12234	482	r33	489
o41	25276	14780	247	r34	265
o42	22473	9995	725	r35	762
o43	23195	14076	823	r36	843
o44	27342	18411	197	r37	203
o45	28831	18205	188	r38	213
o46	26746	22596	472	r39	489
o47	27556	25242	799	r40	824
o48	30059	13305	254	r41	265
o49	30800	3559	151	r42	169
o50	27277	20469	630	r31	657
o51	28688	18906	597	r37	628
o52	22952	20609	494	r43	519
o53	30768	13862	655	r44	668
o54	30733	13315	656	r45	676
o55	28639	16540	596	r46	623
o56	29205	13392	738	r9	751
o57	26688	18790	592	r47	604
o58	24884	14830	678	r48	684
o59	27569	17578	720	r49	742
o60	27850	11828	324	r15	345
o61	30775	13390	582	r50	618
o62	29257	17636	382	r51	393
o63	29137	18965	688	r52	713
o64	28933	18123	646	r53	656
o65	26751	15555	685	r48	692
o66	24481	15312	340	r36	348
o67	29994	10394	684	r54	699
o68	23866	18124	649	r55	665
o69	29909	15889	704	r56	711
o70	29173	6524	633	r57	661
o71	27876	13377	350	r5	363
o72	27135	14803	117	r16	154
o73	26477	13933	748	r58	815
o74	30404	14037	589	r6	607
o75	27305	18845	173	r59	183
o76	18985	17982	242	r60	280
o77	25951	8566	481	r61	498
o78	24877	17948	711	r5	722
o79	27942	20338	634	r62	662
o80	24345	17614	658	r63	664
o81	28692	13290	176	r64	183
o82	28866	12022	234	r65	246
o83	23496	16792	604	r4	697
o84	29275	13093	149	r66	161
o85	26949	14875	766	r67	776
o86	29928	12579	361	r68	404
o87	25608	16443	634	r69	654
o88	23684	14744	672	r23	684
o89	24311	15473	166	r5	172
o90	30913	14101	581	r3	587
o91	27007	20253	140	r70	150
o92	27497	17153	216	r51	236
o93	29638	15403	642	r71	643
o94	22995	17398	421	r4	457
o95	30144	7606	532	r72	569
o96	29296	14381	755	r15	783
o97	22288	21623	609	r73	650
o98	26432	21639	606	r74	607
o99	29559	11947	266	r18	304
o100	27571	20324	492	r75	510
o101	30148	14838	410	r6	418
o102	26837	25613	807	r40	828
o103	31938	4293	801	r76	807
o104	28605	12422	616	r5	636
o105	21843	14173	168	r77	201
o106	29171	17505	165	r70	177
o107	23581	20826	137	r78	154
o108	27832	14549	130	r79	145
o109	29144	12829	189	r64	191
o110	30957	13130	542	r5	553
o111	28209	19821	157	r80	174
o112	24507	16279	773	r21	791
o113	30408	9586	724	r57	747
o114	29996	14869	804	r81	830
o115	27885	20979	280	r29	295
o116	29740	11513	583	r82	584
o117	29495	11679	604	r83	616
o118	28576	15210	498	r16	519
o119	27875	12248	164	r84	182
o120	23209	15226	820	r8	842
o121	28731	13387	734	r82	752
o122	23784	22233	715	r85	731
o123	29881	12279	161	r86	186
o124	22394	17606	252	r4	310
o125	23189	16993	555	r4	660
o126	28957	13782	530	r25	550
o127	29779	13505	155	r41	187
o128	28220	17095	670	r29	701
o129	28922	14026	111	r87	132
o130	28420	21226	634	r29	656
o131	24560	8972	487	r88	502
o132	24570	15032	702	r58	732
o133	25828	18694	679	r89	700
o134	28873	19058	572	r15	580
o135	23302	21587	323	r43	339
o136	25947	22988	574	r90	584
