restaurant	x	y
r1	15921	16165
r2	16358	19011
r3	18444	13522
r4	16131	16008
r5	18627	12073
r6	17046	19220
r7	15731	7466
r8	16652	17090
r9	18680	13656
r10	14463	15227
r11	15043	20981
r12	14363	13711
r13	13945	8428
r14	17537	10818
r15	18643	12600
r16	18710	10351
r17	14098	20173
r18	16282	18541
r19	15737	13363
r20	16093	9539
r21	16438	16596
r22	13533	20766
r23	14881	14937
r24	14854	17018
r25	13505	16464
r26	17144	18911
r27	18579	13404
r28	12573	18578
r29	14642	15302
r30	15342	21039
r31	14671	15304
r32	10283	21750
r33	22064	2937
r34	17812	16309
r35	17158	18473
r36	16478	7248
r37	14535	15313
r38	17125	17791
r39	16283	19172
r40	14628	15183
r41	18237	12946
r42	18595	12010
r43	15104	18623
r44	18420	13398
r45	13831	21154
r46	16761	12668
r47	12434	19353
r48	15119	15902
r49	10807	16908
r50	15683	18105
r51	16385	19133
r52	13881	10759
r53	16822	16291
r54	11896	17376
r55	11637	16060
r56	17452	17795
r57	11185	16730
r58	16013	13341
r59	18713	13613
r60	19055	13446
r61	12491	16123
r62	18007	13461
r63	11208	17995
r64	15016	14568
r65	17115	17824
r66	17243	17763
r67	21704	3031
r68	16441	15631
r69	18585	10543
r70	18461	13860
r71	17064	17806
r72	16918	16989
r73	15592	19674
r74	14365	15189
r75	11489	24734
r76	14408	15326
r77	4974	28244
r78	17108	17866
r79	12474	20200
r80	18024	14649
r81	18775	13864
r82	18317	13189
r83	11974	16107
r84	17153	18192
r85	17458	17002
r86	16554	15230
r87	17934	15263
r88	15563	19024
r89	12755	21760
r90	17921	14669
r91	13633	16307
r92	18246	11795
r93	15627	13037
r94	17151	18011
r95	17951	11741
r96	14652	15197
r97	17326	12941
r98	7656	26768
r99	14396	15282
r100	11235	20940
r101	16129	9473
r102	18290	13018
r103	17429	17209
r104	13160	21765
r105	17161	18165
r106	18455	13079
r107	21394	2919
r108	14414	14858
r109	14351	13760
r110	15011	20968
r111	17957	15440
r112	16341	12138
r113	18498	11407
r114	15019	19024
r115	18641	13742
r116	19342	12378
r117	15092	19510
r118	12768	16657
r119	15143	21826
r120	16243	18647
r121	17499	17022
r122	16457	16216
r123	14460	20014
r124	16834	19178
r125	16409	17306
r126	17141	18324
r127	18740	10468
r128	16490	16606
r129	17907	14723
r130	16364	18049
r131	11354	24993
r132	17142	16600
r133	15625	18550
r134	18889	13406
r135	16751	18583
r136	18323	14593
r137	16461	18932
r138	14868	14564
r139	13127	21547
r140	17493	12143
r141	16826	12709
r142	2363	35586
r143	15908	18519
r144	15668	9320
r145	16793	12305
r146	16596	6442
r147	15207	17714
r148	16849	15268
r149	10660	17735
r150	13765	21357
r151	14452	20051
r152	15141	9493
r153	18035	8950
r154	18800	13293
r155	14526	14603
r156	13559	21345
r157	16685	17103
r158	14631	20235
r159	15927	21922
r160	18587	12549
r161	18984	12616
r162	16872	12538
r163	15815	21334
r164	13720	21421
r165	18558	11357
r166	13999	16167
r167	17255	17439
r168	16918	13226
r169	16847	15512
r170	12631	16788
r171	16433	15627
r172	16372	12394
r173	16734	18481
r174	18433	11345
r175	13929	17782
r176	14778	17009
r177	16646	17019
r178	11847	21417
r179	13609	15809
r180	16752	18634
r181	18539	9855
r182	18311	12896
r183	18441	14322
r184	7403	25075
r185	10951	16122
r186	13356	21010
r187	18190	12301
r188	16863	15889
r189	16873	10276
r190	18773	13217
r191	17430	17101
r192	17417	17092
r193	18636	12588
r194	16350	18896
r195	18821	10604
r196	18705	13959
r197	21204	2050
r198	18673	13885
r199	18035	13398
r200	18699	14199
r201	15502	16924
r202	17437	11958
r203	15623	19352
r204	16868	11681
r205	17755	13507
r206	18245	11275
r207	18117	12856
r208	12591	16847
r209	18810	14090
r210	16796	11747
r211	15611	12419
r212	15199	17892
r213	16816	15503
r214	16330	16579
r215	17027	10259
r216	18563	12192
r217	18671	10663
r218	16833	14671
r219	13773	21429
r220	19102	13292
r221	11652	23375
r222	17676	14207
r223	16159	12047
r224	18203	13071
r225	15325	12066
r226	15243	14494
r227	14146	14581
r228	18481	13427
r229	1891	26638
r230	13829	8428
