restaurant	x	y
r1	27326	13923
r2	24883	14315
r3	24802	15239
r4	24854	15889
r5	24891	15950
r6	26999	12592
r7	29119	11240
r8	24456	16814
r9	27182	17729
r10	24895	16751
r11	28470	12179
r12	28849	12885
r13	27939	11985
r14	26955	17201
r15	15865	24439
r16	21988	22406
r17	24148	14377
r18	22340	21682
r19	28440	15260
r20	25041	15173
r21	24564	12920
r22	27371	17658
r23	22904	19993
r24	26904	16276
r25	28050	17447
r26	27648	18453
r27	28487	12456
r28	26078	19703
r29	28467	14110
r30	27718	18765
r31	26964	13203
r32	25665	10110
r33	28809	15241
r34	25111	16020
r35	29170	14408
r36	29145	13967
r37	27226	13286
r38	25456	21651
r39	28512	12043
r40	27308	13316
r41	28370	12292
r42	28938	14032
r43	27290	19300
r44	28358	12278
r45	27918	17678
r46	25617	22494
r47	27495	18431
r48	27701	18645
r49	12419	27288
r50	27273	15878
r51	24369	11407
r52	26886	17936
r53	20790	22410
r54	23962	21998
r55	26628	19277
r56	29122	14204
r57	27640	18399
r58	23779	15167
r59	29008	14152
r60	27995	11458
r61	24146	9035
r62	24988	15912
r63	27615	18716
r64	27288	16861
r65	23029	19249
r66	22032	16677
r67	28749	12453
r68	27177	17703
r69	29136	13168
r70	16188	27245
r71	25008	14320
r72	28397	15637
r73	28919	13674
r74	27304	15884
r75	24219	22079
r76	25805	12718
r77	21354	15923
r78	28594	15292
r79	29281	13907
r80	28645	13578
r81	12794	36184
r82	3264	29768
r83	29459	13291
r84	26366	22555
r85	22329	22082
r86	29366	13048
r87	25261	10126
r88	27010	7942
r89	26904	16318
r90	27294	16128
r91	29110	14419
r92	28466	9663
r93	28497	13185
r94	28311	13111
r95	28398	12353
r96	21333	17490
r97	23862	15181
r98	26616	12594
r99	24439	9025
r100	29143	14572
r101	23137	17433
r102	24409	18404
r103	23603	22447
r104	26949	16822
r105	29078	14022
r106	25537	12540
r107	27734	18158
r108	2985	52650
r109	27673	19083
r110	28532	12225
r111	29439	14019
r112	27041	15854
r113	29073	12483
r114	27519	19915
r115	23995	17094
r116	26040	20379
r117	26475	20311
r118	26040	20858
r119	28416	15899
r120	3563	33149
r121	27892	13046
r122	24939	20651
r123	28844	13813
r124	15471	28823
r125	25444	15190
r126	29229	12498
r127	27583	13594
r128	28800	13672
r129	24864	15869
r130	26555	13952
r131	22373	18049
r132	26767	12729
r133	28849	11915
r134	25573	19213
r135	11509	32121
r136	26998	17267
r137	28786	13607
r138	27428	10903
r139	25464	19624
r140	26804	19563
r141	27665	18932
r142	26024	14398
r143	29109	11524
r144	27305	13236
r145	25644	18669
r146	24254	22003
r147	28968	14056
r148	28968	14575
r149	19208	32468
r150	28380	15299
r151	26104	19969
r152	26492	20365
r153	28658	13468
r154	28730	13632
r155	26714	16845
r156	29256	11229
r157	25694	15126
r158	22386	22095
r159	25684	17820
r160	27346	19873
r161	29348	14767
