courier	x	y	on_time	off_time
c1	21812	22706	0	180
c2	26651	13258	0	180
c3	19017	21392	0	180
c4	17996	20681	0	180
c5	25542	9826	0	180
c6	25606	9808	0	180
c7	26658	13226	0	180
c8	20941	22747	0	180
c9	19019	21356	0	180
c10	26241	11054	0	180
c11	18969	21408	0	180
c12	28385	12900	0	180
c13	16708	17126	0	180
c14	20887	8871	0	180
c15	19026	19546	0	180
c16	22073	15406	0	180
c17	18927	21353	0	180
c18	21224	938	0	240
c19	21224	978	0	240
c20	18720	7058	0	240
c21	20722	15948	0	240
c22	18697	7019	0	240
c23	26617	4353	0	240
c24	21163	947	0	240
c25	25869	19367	30	60
c26	17417	17671	30	180
c27	19147	19402	30	240
c28	25159	13800	45	180
c29	5985	19078	60	90
c30	24832	19934	60	123
c31	25676	16282	60	240
c32	25100	13861	60	240
c33	27106	12387	60	240
c34	17983	22205	60	240
c35	19724	7412	60	240
c36	17957	21139	60	240
c37	10249	31405	60	240
c38	22549	14407	60	240
c39	22978	14383	60	240
c40	24109	14135	60	240
c41	27105	12639	60	240
c42	12376	33834	60	240
c43	17143	14325	60	240
c44	23557	10101	60	240
c45	18823	12208	60	240
c46	4860	29876	60	240
c47	23607	10158	60	240
c48	22883	14918	60	240
c49	17178	14318	60	240
c50	23135	21498	60	240
c51	21024	15127	60	240
c52	24532	11220	60	240
c53	25190	8999	60	240
c54	16507	8110	60	240
c55	25187	8941	60	240
c56	20903	15448	60	240
c57	22965	14426	60	240
c58	25664	13973	60	240
c59	20759	15869	60	240
c60	23627	10126	60	240
c61	13587	28753	60	240
c62	14302	32731	60	240
c63	22953	14406	60	240
c64	20848	18588	60	240
c65	26618	19663	60	240
c66	24180	22463	60	240
c67	21470	15594	60	240
c68	22316	8792	60	240
c69	19049	7198	60	240
c70	13596	28679	60	240
c71	18805	18158	60	240
c72	4863	29882	60	240
c73	26755	17103	60	240
c74	21912	13062	60	240
c75	24479	18291	60	240
c76	17907	21175	60	240
c77	19016	7126	60	240
c78	20164	12778	60	240
c79	19726	22039	60	240
c80	19957	22874	60	240
c81	25322	15265	60	240
c82	27163	12671	60	240
c83	17193	14286	60	240
c84	24297	17463	60	240
c85	22429	9435	60	240
c86	24928	15715	60	240
c87	21864	13070	60	240
c88	26823	17172	60	240
c89	6083	21065	60	240
c90	17935	21164	60	240
c91	20862	18569	60	240
c92	4866	29839	60	240
c93	20126	20523	60	240
c94	27511	15613	60	240
c95	20118	12751	60	240
c96	12342	33809	60	240
c97	19852	10640	60	240
c98	23691	23267	60	240
c99	24545	11163	60	240
c100	19072	7161	60	240
c101	17132	14334	60	240
c102	23264	21012	60	240
c103	26767	15221	60	240
c104	18268	11725	60	240
c105	18720	20477	60	257
c106	18268	8584	60	300
c107	18275	8571	60	300
c108	26667	6629	75	240
c109	19109	12108	85	300
c110	23330	13675	105	597
c111	17998	16468	120	225
c112	22063	17337	120	300
c113	19206	17878	120	300
c114	22079	17310	120	300
c115	23703	13809	120	300
c116	25265	18585	120	300
c117	24753	18369	120	300
c118	26038	11260	120	300
c119	19298	17930	120	300
c120	22061	17316	120	300
c121	21324	13086	120	300
c122	26039	11281	120	300
c123	25242	18547	120	300
c124	18576	19708	120	360
c125	20195	12391	120	360
c126	21895	13122	120	360
c127	20149	12314	120	360
c128	18340	18530	120	360
c129	18394	18567	120	360
c130	22698	12399	120	360
c131	18210	18842	120	360
c132	26347	13410	120	360
c133	21714	11664	120	360
c134	21734	11632	120	360
c135	21885	13106	120	360
c136	18624	19781	120	360
c137	26482	15838	165	255
c138	26463	19243	165	300
c139	27540	8201	190	420
c140	29307	11706	210	480
c141	25184	20852	240	420
c142	22134	7901	240	420
c143	14484	31528	240	420
c144	22892	10891	240	420
c145	21275	6983	240	420
c146	8116	19212	240	420
c147	25384	19434	240	420
c148	24597	17846	240	420
c149	14484	31538	240	420
c150	22185	7916	240	420
c151	24600	17853	240	420
c152	25454	19504	240	420
c153	27470	5722	240	420
c154	22144	7897	240	420
c155	22868	10892	240	420
c156	23118	19943	240	420
c157	372	26462	240	420
c158	19739	13013	240	420
c159	8130	19249	240	420
c160	26521	19778	240	420
c161	346	26541	240	420
c162	19747	12969	240	420
c163	19246	22913	240	420
c164	19578	16218	240	420
c165	20182	22754	240	420
c166	20182	22773	240	420
c167	24822	11077	240	420
c168	24741	9105	240	420
c169	19740	12920	240	420
c170	21603	22336	240	440
c171	28628	12821	240	480
c172	23463	23010	240	480
c173	28573	12822	240	480
c174	27757	17224	240	480
c175	26449	20347	240	480
c176	19973	17088	240	480
c177	27733	17172	240	480
c178	26473	20275	240	480
c179	20929	20793	240	480
c180	28571	12825	240	480
c181	21887	12252	240	480
c182	22312	20304	240	480
c183	27722	17256	240	480
c184	19994	9395	240	480
c185	22998	14508	240	480
c186	19554	20254	240	480
c187	19401	22668	240	480
c188	20077	9465	240	480
c189	16365	20097	240	480
c190	23804	8683	240	480
c191	17307	16684	240	480
c192	26433	20313	240	480
c193	19628	13698	240	480
c194	20918	20838	240	480
c195	17194	15680	240	480
c196	25972	17359	240	540
