restaurant	x	y
r1	23469	16920
r2	24011	19776
r3	26063	14268
r4	23686	16738
r5	26265	12833
r6	24577	20030
r7	23277	8205
r8	24297	17890
r9	26181	14483
r10	22035	15931
r11	22620	21776
r12	21987	14433
r13	21477	9179
r14	25089	11483
r15	26266	13346
r16	26297	11072
r17	21762	20945
r18	23851	19310
r19	23274	14099
r20	23619	10199
r21	24054	17301
r22	21166	21553
r23	22470	15668
r24	22426	17706
r25	21098	17284
r26	24770	19663
r27	26180	14093
r28	20132	19361
r29	22237	16128
r30	22998	21714
r31	22203	16104
r32	17914	22539
r33	29710	3629
r34	25385	17071
r35	24816	19187
r36	24133	8071
r37	22091	16012
r38	24727	18613
r39	23910	19929
r40	22252	15869
r41	25760	13704
r42	26271	12835
r43	22707	19286
r44	26067	14132
r45	21444	21920
r46	24314	13476
r47	20024	20116
r48	22646	16679
r49	18408	17667
r50	23243	18805
r51	23920	19861
r52	21494	11535
r53	24369	17054
r54	19495	18149
r55	19225	16874
r56	25101	18500
r57	18713	17523
r58	23586	14049
r59	26346	14400
r60	26647	14206
r61	20111	16890
r62	25568	14243
r63	18778	18803
r64	22560	15305
r65	24798	18509
r66	24848	18549
r67	29249	3836
r68	23988	16420
r69	26163	11283
r70	26011	14697
r71	24659	18600
r72	24455	17769
r73	23190	20472
r74	22031	15950
r75	19015	25434
r76	22016	16043
r77	12546	28959
r78	24704	18601
r79	20021	20947
r80	25587	15398
r81	26323	14596
r82	25890	13868
r83	19599	16891
r84	24755	18903
r85	25088	17694
r86	24159	16020
r87	25491	16059
r88	23128	19829
r89	20356	22525
r90	25536	15474
r91	21164	17008
r92	25810	12517
r93	23259	13804
r94	24814	18759
r95	25499	12475
r96	22247	15886
r97	24999	13680
r98	15194	27514
r99	21991	16013
r100	18770	21781
r101	23767	10229
r102	25874	13729
r103	25002	18003
r104	20759	22507
r105	24720	18846
r106	25978	13859
r107	28980	3694
r108	22004	15598
r109	21949	14470
r110	22564	21760
r111	25546	16200
r112	23946	12823
r113	26141	12118
r114	22592	19804
r115	26187	14569
r116	26950	13197
r117	22694	20305
r118	20292	17427
r119	22689	22522
r120	23772	19393
r121	25080	17836
r122	24000	16966
r123	22033	20741
r124	24435	19930
r125	24032	18076
r126	24817	19115
r127	26393	11255
r128	24116	17356
r129	25533	15438
r130	23979	18812
r131	18956	25779
r132	24774	17353
r133	23162	19354
r134	26514	14202
r135	24398	19424
r136	25915	15362
r137	24073	19654
r138	22498	15250
r139	20733	22322
r140	25135	12924
r141	24400	13415
r142	9952	36250
r143	23517	19287
r144	23194	10140
r145	24351	13108
r146	24136	7182
r147	22779	18504
r148	24381	16018
r149	18234	18522
r150	21371	22177
r151	22002	20754
r152	22756	10237
r153	25657	9717
r154	26365	13994
r155	22110	15337
r156	21086	22097
r157	24268	17881
r158	22316	20971
r159	23504	22613
r160	26207	13327
r161	26573	13346
r162	24469	13327
r163	23430	22104
r164	21368	22141
r165	26189	12169
r166	21562	16977
r167	24805	18231
r168	24416	13963
r169	24446	16226
r170	20255	17558
r171	24027	16426
r172	23941	13174
r173	24296	19301
r174	25957	12112
r175	21500	18495
r176	22437	17736
r177	24254	17802
r178	19425	22215
r179	21138	16521
r180	24364	19391
r181	26161	10571
r182	25880	13730
r183	26057	15051
r184	14948	25802
r185	18499	16925
r186	20914	21720
r187	25858	13030
r188	24486	16686
r189	24476	11093
r190	26434	14027
r191	25012	17841
r192	25063	17838
r193	26254	13284
r194	23989	19688
r195	26383	11355
r196	26313	14723
r197	28840	2770
r198	26320	14620
r199	25617	14102
r200	26337	14897
r201	23136	17674
r202	25040	12641
r203	23223	20066
r204	24491	12490
r205	25316	14322
r206	25844	12014
r207	25686	13619
r208	20175	17684
r209	26404	14791
r210	24373	12490
r211	23125	13148
r212	22738	18621
r213	24406	16277
r214	23995	17359
r215	24585	10953
r216	26224	12912
r217	26232	11363
r218	24418	15401
r219	21277	22189
r220	26654	14029
r221	19178	24189
r222	25283	14948
r223	23677	12732
r224	25822	13787
r225	22967	12873
r226	22854	15221
r227	21788	15349
r228	26025	14137
r229	9508	27378
r230	21465	9157
r231	24332	12626
r232	9564	27340
r233	24402	20384
r234	24417	16079
r235	26304	12618
r236	23435	11473
r237	20326	17358
r238	27033	13916
r239	23146	10259
r240	29304	3711
r241	21961	7213
r242	20255	16853
r243	24411	16369
r244	21214	14755
r245	21272	9098
r246	24179	17909
r247	24375	18812
r248	25089	17560
r249	28294	3689
r250	19049	35450
r251	22094	14447
r252	21456	21760
r253	19716	34550
r254	24364	17281
