restaurant	x	y
r1	8981	10625
r2	9228	10427
r3	8138	9211
r4	9314	10406
r5	1392	8010
r6	8150	7283
r7	2932	8603
r8	6828	8954
r9	9358	9820
r10	3597	6783
r11	8590	6675
r12	3655	8912
r13	8062	6044
r14	8720	10882
r15	7937	9642
r16	6417	10771
r17	7834	6761
r18	8193	7062
r19	8137	9303
r20	9501	7470
r21	7049	7743
r22	7861	6898
r23	7238	6691
r24	5666	7435
r25	8189	8986
r26	5576	10604
r27	9068	10040
r28	2159	8819
r29	7995	6260
r30	9248	9036
r31	9769	9294
r32	8483	9369
r33	9549	7032
r34	8281	7786
r35	8023	6736
r36	7917	5988
r37	3608	8883
r38	7745	6916
r39	3803	4113
r40	5309	9310
r41	8930	5796
r42	6820	8808
r43	8824	9412
r44	9151	10596
r45	9448	7515
r46	4372	8690
r47	7919	4722
r48	10212	8579
r49	6217	10774
r50	4188	8861
r51	4316	8252
r52	6080	10789
r53	8219	9192
r54	3893	7021
r55	4170	8870
r56	7948	9368
r57	8868	5871
r58	4528	2447
r59	8246	8778
r60	8738	10936
r61	9035	10666
r62	6829	9174
r63	7918	5516
r64	2933	8640
r65	5617	7442
r66	7772	7039
r67	8447	9197
r68	9216	8904
r69	8366	7819
r70	7940	9656
r71	7919	9491
r72	9048	10625
r73	7867	9608
r74	7732	6931
r75	5565	7477
r76	8416	8145
r77	9237	10556
r78	8459	11699
r79	3985	6832
r80	7773	6829
r81	6950	10517
r82	8183	9001
r83	8544	5555
r84	6684	6335
r85	6741	6425
r86	7023	7669
r87	8598	9091
r88	10066	9252
r89	7981	8861
r90	6479	10663
r91	8792	10162
r92	3903	6655
r93	7877	4604
r94	9437	8403
r95	4833	8655
r96	9078	10122
r97	9374	8826
r98	9312	9089
r99	6799	6761
r100	8139	5393
r101	8922	9752
r102	6840	9115
r103	4241	8677
r104	9429	7478
r105	7782	6626
r106	6700	5418
r107	7904	9683
r108	8094	6425
r109	7891	4526
r110	7840	11475
r111	9065	8289
r112	6155	10856
r113	8980	10643
r114	7852	5999
r115	7081	9179
r116	2692	6680
r117	8922	10739
r118	7858	5964
r119	9303	3027
r120	2350	8523
r121	10878	4328
r122	4476	8657
r123	4080	8838
r124	9978	6672
r125	4043	9090
