restaurant	x	y
r1	9976	9856
r2	6313	8278
r3	6844	11646
r4	7755	8509
r5	9105	9013
r6	8515	5388
r7	9628	6557
r8	7881	7500
r9	8995	10026
r10	3519	5307
r11	8493	7604
r12	9328	9115
r13	8552	7760
r14	8895	12435
r15	8555	10015
r16	9736	9808
r17	7825	11437
r18	9503	10265
r19	8520	10509
r20	2824	9567
r21	8454	7785
r22	1106	6391
r23	8633	6345
r24	8375	8599
r25	7755	10047
r26	9834	11392
r27	7437	7511
r28	5941	10171
r29	7490	7289
r30	9867	11403
r31	9232	9898
r32	4282	7592
r33	4708	7625
r34	4266	9691
r35	4506	5002
r36	7847	11410
r37	5157	9509
r38	9802	11503
r39	4970	9117
r40	4602	7446
r41	674	8777
r42	7668	11328
r43	6225	11441
r44	4665	9742
r45	8986	8530
r46	7389	7148
r47	7541	9600
r48	3617	9458
r49	3612	7595
r50	7538	7323
r51	10205	9246
r52	9564	9878
r53	9562	6698
r54	10068	3891
r55	9746	11006
r56	9925	11251
r57	7850	7307
r58	6275	8253
r59	6754	10257
r60	8520	6784
r61	9678	11500
r62	4831	9785
r63	10908	9380
r64	8202	7758
r65	7160	11495
r66	10060	9721
r67	8510	7172
r68	3531	7597
r69	8635	10374
r70	3397	9402
