courier	x	y	on_time	off_time
c1	2134	7267	0	90
c2	2135	7205	0	90
c3	10103	3194	0	90
c4	10712	4968	90	240
c5	6894	2883	90	270
c6	12534	1391	90	270
c7	13374	5597	90	270
c8	7687	5077	90	270
c9	12466	1431	90	270
c10	14240	4593	90	270
c11	14288	4559	90	270
c12	8644	8700	90	270
c13	8141	11614	90	270
c14	12446	1403	90	270
c15	12535	1416	90	270
c16	6932	3135	90	270
c17	13135	1613	150	270
c18	6109	4861	210	330
c19	6115	4810	210	330
c20	5628	12471	210	330
c21	5828	7015	270	390
c22	13858	6328	270	450
c23	10852	769	270	450
c24	12151	9410	270	450
c25	11780	5196	270	450
c26	11730	5249	270	450
c27	5877	3194	270	450
c28	5867	853	270	450
c29	11712	5235	270	450
c30	6938	8596	270	450
c31	11712	5200	270	450
c32	11707	5218	270	450
c33	13033	9225	270	450
c34	7353	9960	390	510
c35	7346	9924	390	510
c36	7265	9298	390	510
c37	4440	10662	450	630
c38	12365	1366	450	630
c39	10544	5028	450	630
c40	8353	1733	450	630
c41	12386	1356	450	630
c42	12558	10836	450	630
c43	4788	2351	450	630
c44	625	5839	450	630
c45	9992	0	450	630
c46	8361	1792	450	630
c47	10548	4991	450	630
c48	3985	11953	450	630
c49	9917	12	450	630
c50	5938	7119	450	630
c51	4384	10614	450	630
c52	12425	1396	450	630
c53	10533	4965	450	630
c54	12519	10809	450	630
c55	12337	1389	450	630
c56	12541	3766	450	630
c57	7588	6383	450	640
c58	1165	6476	450	660
c59	8520	3326	450	666
c60	8833	13909	450	675
c61	3856	3299	465	707
c62	10909	7540	510	630
c63	10335	9651	510	690
c64	10209	8513	510	690
c65	2351	10138	510	690
c66	7801	12202	510	690
c67	6107	8824	510	690
c68	2363	10212	510	690
c69	10169	8501	510	690
c70	9933	3597	510	690
c71	5573	4720	510	690
c72	8617	6629	510	690
c73	6155	8872	510	690
c74	9966	4317	510	690
c75	8551	6626	510	690
c76	6146	8875	510	690
c77	10223	8470	510	690
c78	1924	7887	510	690
c79	4647	11337	630	750
c80	7335	2749	630	750
c81	7387	2732	630	750
c82	7348	2767	630	750
c83	10256	1351	630	750
c84	12406	7989	630	750
c85	11355	7049	630	750
c86	10306	1352	630	750
c87	10291	1417	630	750
c88	0	7295	690	810
c89	2039	4590	690	810
c90	2066	4670	690	810
c91	10004	13338	690	840
c92	10086	13347	690	840
c93	7480	6160	690	840
c94	955	6853	690	862
