order	x	y	placement_time	restaurant	ready_time
o1	23632	13915	536	r1	546
o2	25128	19081	625	r2	636
o3	25855	14286	190	r3	216
o4	20807	17991	257	r4	259
o5	26433	13201	547	r5	556
o6	24926	19242	111	r6	135
o7	20698	12935	327	r7	340
o8	24874	17207	119	r8	142
o9	26950	13642	310	r9	324
o10	24502	13623	692	r10	709
o11	23979	23772	85	r11	109
o12	20626	14197	76	r12	129
o13	24745	12402	499	r13	526
o14	24218	10516	415	r14	425
o15	26493	13558	467	r15	487
o16	27223	13252	516	r16	541
o17	19293	19226	443	r17	460
o18	24236	20341	500	r18	524
o19	25445	16841	495	r19	512
o20	29061	2606	729	r20	749
o21	24950	18545	44	r21	49
o22	23307	22079	668	r22	687
o23	21264	16548	368	r23	391
o24	22957	15777	315	r23	335
o25	25267	18899	459	r24	464
o26	18241	18478	308	r25	338
o27	18875	16386	403	r26	418
o28	27046	13464	69	r27	119
o29	19561	20564	311	r28	352
o30	26319	11545	148	r16	174
o31	25899	11643	627	r29	667
o32	25686	16002	179	r8	190
o33	23950	17628	313	r8	332
o34	23703	22270	176	r30	209
o35	21316	16199	538	r31	561
o36	23930	20612	618	r32	643
o37	29158	2849	391	r33	414
o38	23237	17282	384	r34	399
o39	24690	19187	550	r35	554
o40	24985	19464	64	r24	68
o41	26452	11065	556	r36	558
o42	26396	9513	550	r5	556
o43	21918	14305	92	r37	107
o44	18412	23075	136	r38	139
o45	19760	22649	206	r39	230
o46	22313	15777	402	r40	423
o47	26706	14094	315	r27	365
o48	23461	18593	111	r34	126
o49	26700	14717	480	r41	494
o50	26832	10034	399	r42	405
o51	20987	18478	453	r43	478
o52	25535	13052	453	r44	471
o53	22164	22638	69	r45	86
o54	26136	10931	182	r46	185
o55	20545	16889	518	r28	611
o56	20492	18326	135	r47	140
o57	25735	14997	502	r48	538
o58	19572	18405	636	r49	662
o59	24242	15875	72	r50	93
o60	21720	22692	220	r51	242
o61	24359	13014	308	r52	327
o62	25472	13879	564	r53	598
o63	19536	16601	616	r54	634
o64	19293	16457	71	r55	86
o65	25129	19738	555	r35	561
o66	20761	22159	76	r11	108
o67	20660	18583	194	r56	207
o68	19123	17860	234	r57	277
o69	25989	15178	130	r21	137
o70	27062	14028	412	r58	424
o71	24524	12543	516	r14	528
o72	22653	26383	253	r26	267
o73	26753	14785	457	r59	476
o74	19229	18175	165	r28	205
o75	25786	11753	59	r60	63
o76	20213	18271	264	r61	294
o77	25882	14352	460	r34	477
o78	27417	1825	684	r20	704
o79	26416	12932	74	r62	100
o80	18945	19107	343	r63	371
o81	20779	17472	403	r64	427
o82	19988	13566	295	r58	318
o83	20138	16697	619	r55	638
o84	21455	25846	391	r65	393
o85	22367	14843	635	r31	656
o86	23920	23190	580	r30	608
o87	24488	20694	262	r66	291
o88	27461	2014	567	r67	572
o89	26127	14663	368	r68	383
o90	25048	13469	744	r23	757
o91	27146	13266	230	r69	239
o92	24479	12541	229	r46	231
o93	21626	16537	490	r54	506
o94	25661	15084	597	r70	613
o95	24274	19737	406	r71	426
o96	26712	13337	367	r71	380
o97	25149	18350	72	r72	75
o98	23049	19739	397	r73	404
o99	25697	10159	481	r5	492
o100	27574	4227	468	r33	471
o101	22085	17053	467	r74	470
o102	24017	24514	563	r75	568
o103	19276	18188	171	r76	173
o104	10871	29165	306	r77	336
o105	24234	19459	126	r50	160
o106	19127	17663	714	r61	757
o107	16798	21388	180	r76	182
o108	24265	15826	433	r57	443
o109	25158	18657	188	r78	201
o110	17526	21841	353	r79	377
o111	26115	15319	709	r80	729
o112	26648	14725	566	r81	578
o113	25583	15250	352	r59	361
o114	24957	16296	460	r24	465
o115	25151	14297	513	r82	565
o116	25751	14574	40	r4	43
