restaurant	x	y
r1	7734	7335
r2	7820	9762
r3	8919	6326
r4	4593	9703
r5	10206	11288
r6	9131	10074
r7	3215	9632
r8	11110	9399
r9	10235	11256
r10	3763	5253
r11	3132	9583
r12	5112	9551
r13	4829	7424
r14	8799	10455
r15	8983	6890
r16	8836	7745
r17	5274	9091
r18	6561	8329
r19	3856	9459
r20	9792	10237
r21	10166	9726
r22	9214	8544
r23	10498	7800
r24	7640	7156
r25	7048	11581
r26	8890	10591
r27	9491	9953
r28	9486	9743
r29	8953	7523
r30	6250	10131
r31	10192	11262
r32	4841	7837
r33	5357	9568
r34	8855	6781
r35	4807	4983
r36	9958	11434
r37	7178	11555
r38	7025	10294
r39	9961	11484
r40	8888	10517
r41	7926	11375
r42	9822	6559
r43	10027	11458
r44	7711	7609
r45	2309	8898
r46	4904	7667
r47	8697	8596
r48	9082	6244
r49	8868	10497
r50	10054	10949
r51	9785	6721
r52	10209	9859
r53	3629	7556
r54	8873	6878
r55	8690	7612
r56	5296	9557
r57	8818	10019
r58	1389	6372
r59	10134	11459
r60	9404	10212
r61	9165	9622
r62	3674	9458
r63	9164	10064
r64	7073	11685
r65	7343	11575
r66	8836	5421
r67	8781	6926
r68	6581	8285
r69	8715	7712
r70	3784	7571
r71	7479	11431
r72	9400	10047
r73	9704	11666
r74	9171	7885
r75	5041	7689
r76	7747	9673
r77	999	8811
r78	9992	9839
r79	9080	9854
r80	4562	7680
r81	11818	5243
r82	7755	7282
r83	1366	6393
r84	9067	10099
r85	10260	9699
r86	9129	8087
r87	8734	12332
r88	10222	9877
r89	7947	8555
r90	8755	8692
r91	1013	8786
r92	5843	9530
r93	8889	5480
r94	9311	9028
r95	8006	10068
r96	9469	6341
r97	9990	10878
r98	6556	8273
r99	7673	7580
r100	8078	11426
r101	8680	11213
r102	6506	11461
r103	9596	8377
r104	7172	11673
r105	9348	10092
r106	10350	9869
r107	6511	8254
r108	4642	9754
r109	8906	10156
r110	8158	7575
r111	8754	7207
r112	4740	7692
r113	9506	9083
r114	10038	9129
r115	8509	7716
r116	8738	7471
r117	9916	8992
r118	9177	9170
r119	3346	9403
r120	9049	9850
r121	8805	10656
r122	7924	7360
r123	9979	11521
r124	5001	9729
r125	3838	7547
r126	10199	11436
r127	3833	6574
r128	6515	10188
r129	9061	10185
r130	4671	7616
r131	9575	6419
r132	8120	7367
r133	7100	11674
r134	3767	7525
r135	10265	3888
r136	9812	9917
r137	9123	12388
r138	5329	9581
r139	10396	9265
r140	8723	7749
r141	8896	10308
r142	9977	11501
r143	9407	12532
r144	4903	9713
r145	10727	10170
r146	5005	9963
r147	9020	7418
r148	7742	10038
r149	9789	11590
r150	5098	9755
r151	8109	11383
r152	3986	9617
r153	8929	5551
r154	10921	7519
r155	8852	10074
r156	5430	9545
r157	3936	9485
r158	9783	5777
r159	9935	11533
