restaurant	x	y
r1	15072	23140
r2	15384	16671
r3	18460	15134
r4	18551	19758
r5	19516	14331
r6	18038	20731
r7	15390	18143
r8	16381	23922
r9	19292	15928
r10	15482	22902
r11	18241	20722
r12	12583	26343
r13	17276	21514
r14	19835	16237
r15	5930	31104
r16	19439	15997
r17	16829	19095
r18	16828	13650
r19	22338	5842
r20	18309	15841
r21	15035	19121
r22	16591	22003
r23	15976	21947
r24	16671	21048
r25	15438	22874
r26	18144	19521
r27	18872	14657
r28	18914	16380
r29	13535	21472
r30	18146	21086
r31	19546	16324
r32	14588	23708
r33	12964	20309
r34	19234	14158
r35	18177	21064
r36	14746	24359
r37	17871	22525
r38	20046	16403
r39	18353	20172
r40	19493	16479
r41	15340	16669
r42	20456	16025
r43	18135	20764
r44	18434	20020
r45	19711	16850
r46	17843	14657
r47	15635	18231
r48	13803	24771
r49	18796	19245
r50	12185	20943
r51	19189	15853
r52	19414	16322
r53	13581	19811
r54	18889	17646
r55	16055	23949
r56	18506	13709
r57	17845	15657
r58	16001	17500
r59	15994	23909
r60	17135	12417
r61	17792	14638
r62	17813	18395
r63	18198	20362
r64	15811	19966
r65	18140	21344
r66	14321	23935
r67	19452	17195
r68	16223	17436
r69	16083	21532
r70	15887	17871
r71	18479	19895
r72	19639	15047
r73	14914	13668
r74	18144	21301
r75	17856	17587
r76	18374	14831
r77	21306	577
r78	17644	19980
r79	12963	19052
r80	19282	16099
r81	13056	20686
r82	16884	24861
r83	16133	20752
r84	17531	9369
r85	19619	13263
r86	17467	21791
r87	18702	16523
r88	13386	23114
r89	19611	13514
r90	19022	11967
r91	17431	20224
r92	19005	17578
r93	18926	18212
r94	17080	20603
r95	18407	20024
r96	17361	21808
r97	19616	16641
r98	17652	20093
r99	13358	22303
r100	18014	13139
r101	19747	13371
r102	13477	23150
r103	14655	19169
r104	15411	18213
r105	17547	18193
r106	17408	19105
r107	15382	18200
r108	15762	19942
r109	14823	24154
r110	19584	16660
r111	8650	29620
r112	19695	16753
r113	13634	19721
r114	17770	19183
r115	16334	15031
r116	15641	18058
r117	15570	17455
r118	17840	18449
r119	17213	21527
r120	19326	17510
r121	15591	18248
r122	20348	15310
r123	19689	15458
r124	16097	22423
r125	18161	20956
r126	18034	22181
r127	17827	15253
r128	16690	15964
r129	17354	22081
r130	13703	19590
r131	17881	19953
r132	17691	21494
r133	16522	12459
r134	17876	13222
r135	13502	19083
r136	19651	14923
r137	14490	19441
r138	12196	19637
r139	16795	24260
r140	12572	19012
r141	19693	16547
r142	19138	15843
r143	17839	19889
r144	16189	20706
r145	17029	16227
r146	2960	29534
r147	15364	9447
r148	17413	21115
r149	18118	21795
r150	16711	16283
r151	20016	15500
r152	16082	24708
r153	17344	15070
r154	19227	14741
r155	17880	18903
r156	12224	23195
r157	16630	12270
r158	17334	15390
r159	16037	18894
r160	17648	19956
r161	19029	16316
r162	17498	19485
r163	11801	19846
r164	19550	15443
r165	14743	24383
r166	17399	20962
r167	17499	10206
r168	19880	16342
r169	16265	25608
r170	17054	12392
r171	11314	24663
r172	18760	17156
r173	19716	16914
r174	15431	18221
r175	14938	11316
r176	16185	12481
r177	19773	17141
r178	18971	17985
r179	16539	22327
r180	18477	20684
r181	20021	16187
r182	19496	16340
r183	16521	21504
r184	17779	18254
r185	14137	24754
r186	19785	16189
r187	2892	29552
r188	14632	16937
r189	19668	17048
r190	13692	19062
r191	17737	19122
r192	17917	14656
r193	17779	21528
r194	17305	22063
r195	15371	17776
r196	13737	19503
r197	17826	21585
r198	16894	21516
r199	23040	5797
r200	19699	14846
r201	19596	14274
r202	19881	16868
r203	16525	19931
r204	18475	20024
r205	20999	12928
r206	17040	12390
r207	18160	20698
r208	17892	15501
r209	18167	20771
r210	17823	18101
r211	17874	18583
r212	15513	16629
r213	15135	17472
