restaurant	x	y
r1	0	7415
r2	5653	6920
r3	7043	7100
r4	8207	8220
r5	7304	9894
r6	9079	7691
r7	2168	8257
r8	9291	9831
r9	7944	4919
r10	9350	2472
r11	8598	8501
r12	7870	9110
r13	4032	8588
r14	6227	10192
r15	8400	6416
r16	8527	8747
r17	7945	9058
r18	8260	8704
r19	4292	7664
r20	9080	10094
r21	6725	5927
r22	6726	4795
r23	6974	9971
r24	6176	10286
r25	9555	6928
r26	8130	8692
r27	5680	6951
r28	7904	8189
r29	9406	9083
r30	9478	8510
r31	8012	7170
r32	9476	7047
r33	8015	5743
r34	9303	9610
r35	8557	6118
r36	4346	8119
r37	5657	6885
r38	6488	10192
r39	3716	6223
r40	8128	8433
r41	9306	8501
r42	9201	9923
r43	8689	10308
r44	7925	5416
r45	6799	5932
r46	7216	10033
r47	7729	6395
r48	9893	9764
r49	8690	6922
r50	7912	5522
r51	3848	3604
r52	7794	9769
r53	9357	9290
r54	4079	8283
r55	8871	8783
r56	8672	10332
r57	7883	7479
r58	8717	5039
r59	7846	5874
r60	8050	8906
