order	x	y	placement_time	restaurant	ready_time
o1	25797	12583	3	r1	16
o2	26952	23330	13	r2	48
o3	28904	15086	16	r3	82
o4	28005	15773	18	r4	49
o5	24738	17574	22	r5	34
o6	25798	18550	44	r2	55
o7	25843	18201	45	r6	77
o8	25804	12540	46	r1	89
o9	27234	17766	54	r6	71
o10	26184	14594	59	r7	67
o11	27444	14574	60	r8	78
o12	28798	15178	64	r9	87
o13	29297	13571	64	r10	89
o14	28803	15114	65	r11	102
o15	27812	19878	65	r12	78
o16	28829	15118	66	r13	78
o17	28912	15938	66	r14	88
o18	27928	13940	67	r15	84
o19	26958	21587	68	r16	73
o20	23983	22117	68	r17	81
o21	28855	15154	68	r18	88
o22	28807	15112	71	r19	133
o23	26800	15553	73	r20	85
o24	24929	19827	74	r21	79
o25	27883	15341	75	r22	97
o26	28294	21321	76	r23	92
o27	26441	20134	76	r24	101
o28	21937	19870	78	r25	110
o29	25897	22908	79	r26	101
o30	27528	20993	80	r24	85
o31	29399	14623	80	r9	92
o32	22884	22567	80	r24	117
o33	28840	15102	80	r27	82
o34	27840	16683	82	r28	127
o35	29158	13191	84	r9	96
o36	25744	13918	86	r29	96
o37	26799	14931	87	r30	93
o38	24896	14777	87	r31	105
o39	29677	16186	88	r32	106
o40	30204	16081	88	r33	94
o41	28873	15175	91	r34	109
o42	28928	15448	91	r15	146
o43	29020	15028	92	r35	118
o44	27317	14582	94	r9	106
o45	29759	15348	95	r7	107
o46	28684	14959	95	r9	107
o47	28548	16821	97	r36	142
o48	29094	16025	98	r19	160
o49	29258	14515	99	r37	137
o50	29685	16825	100	r38	112
o51	24809	21473	102	r17	117
o52	26682	16778	103	r39	105
o53	21985	19987	104	r25	147
o54	28895	15041	104	r29	111
o55	28300	15072	105	r40	113
o56	25318	12010	105	r1	122
o57	30259	2828	108	r41	139
o58	28858	15163	109	r9	121
o59	28823	13740	109	r42	144
o60	24991	15580	110	r27	112
o61	28850	17228	110	r43	140
o62	22387	23414	112	r44	130
o63	27459	17056	112	r45	118
o64	23815	24236	115	r46	122
o65	28108	20808	116	r24	118
o66	29072	17494	116	r47	152
o67	29532	16017	116	r9	128
o68	26780	23874	117	r26	133
o69	24407	18309	118	r15	139
o70	29528	12557	118	r9	124
o71	21827	19545	120	r48	143
o72	28635	14567	121	r49	128
o73	28812	15136	123	r13	150
o74	31954	6785	124	r50	141
o75	25181	19203	124	r6	136
o76	28841	15152	124	r48	147
o77	27704	16004	125	r18	165
o78	29974	9296	125	r50	181
o79	27343	22014	127	r24	129
o80	30129	15409	127	r9	139
o81	29053	14940	129	r51	144
o82	25030	16732	130	r15	152
o83	23874	20552	130	r52	143
o84	26041	16083	130	r29	137
o85	26766	25947	131	r16	138
o86	25873	20194	132	r24	134
o87	26499	16574	132	r20	154
o88	28850	15129	133	r7	148
o89	24144	17152	133	r51	143
o90	28617	14563	134	r49	141
o91	28992	17783	134	r53	165
o92	26708	19830	135	r2	145
o93	23545	19125	135	r46	150
o94	28960	17312	136	r54	163
o95	28077	20136	138	r24	146
o96	24070	21213	138	r48	163
o97	28946	17595	140	r15	167
o98	28792	15160	140	r55	206
o99	27807	21553	142	r24	152
o100	31844	6459	142	r50	204
o101	26500	19875	143	r56	171
o102	28414	16155	145	r7	160
o103	22483	18683	146	r57	166
o104	26872	23659	149	r15	171
o105	23864	18767	151	r58	163
