restaurant	x	y
r1	27817	20776
r2	25091	18166
r3	25634	17835
r4	25736	18857
r5	26571	19040
r6	29082	15170
r7	24573	11278
r8	28936	17502
r9	23217	21465
r10	26222	21954
r11	25127	18147
r12	27867	21812
r13	28727	14321
r14	24058	17406
r15	28696	14628
r16	29636	16936
r17	24858	17504
r18	25776	21504
r19	24199	23700
r20	29270	14674
r21	32068	5891
r22	27092	21784
r23	28989	15900
r24	26466	13687
r25	27512	18131
r26	28618	16421
r27	25273	18270
r28	28735	11900
r29	29002	16092
r30	28720	14446
r31	32718	5857
r32	25810	24690
r33	29764	16221
r34	27559	17621
r35	24322	19196
r36	25270	18056
r37	27586	19903
r38	27695	20750
r39	26245	22284
r40	29406	16534
r41	25813	20641
r42	28206	15113
r43	25075	20196
r44	26518	24288
r45	21827	19625
r46	28587	14627
r47	24375	24367
r48	25308	18219
r49	27152	21808
r50	27581	15457
r51	28935	14675
r52	25890	17409
r53	25177	22952
r54	25036	16635
r55	29315	13459
r56	26883	12406
r57	27868	21098
r58	21845	23924
r59	29157	16385
r60	27838	15846
r61	28090	14825
r62	28178	15092
r63	28045	15845
r64	23319	19002
r65	24434	11229
r66	29328	13222
r67	21298	20716
r68	27808	19568
r69	25070	18189
r70	31014	596
r71	24556	13610
r72	25921	25598
r73	27834	21365
r74	29328	16666
r75	25229	16604
r76	27836	20941
r77	26211	19903
r78	27515	19228
r79	25197	18220
r80	29377	15539
r81	28056	20158
r82	25780	22457
r83	23107	22290
r84	24510	11353
r85	27874	20449
r86	29681	15586
r87	27931	20673
r88	27507	15569
r89	25459	19868
r90	29271	14954
r91	23147	19071
r92	27153	14898
r93	28660	17536
r94	29359	16903
r95	27185	10200
r96	27159	18131
r97	27328	21445
r98	26019	15040
r99	27898	21065
r100	26956	15018
r101	28107	14809
r102	22246	19045
r103	29184	14295
r104	28594	14566
r105	27083	18607
r106	26018	23945
r107	24204	19405
r108	27114	20889
r109	25086	18202
r110	27823	21207
r111	22725	18983
r112	28161	19862
r113	28510	19281
r114	26263	12231
r115	27505	14666
r116	28904	15929
r117	25511	19947
r118	29337	13900
r119	25374	18241
r120	23432	24734
r121	30069	15355
r122	26336	15921
r123	28216	19790
r124	27817	20733
r125	29155	17201
r126	28981	14743
r127	22609	20339
r128	22250	26337
r129	29274	16278
r130	18312	29685
r131	32383	5935
r132	28623	16511
r133	28537	15434
r134	28172	20671
r135	28211	15129
r136	26378	20981
r137	24786	23115
r138	26285	21475
r139	27274	9421
r140	24660	20660
r141	28179	13732
r142	26752	15557
r143	25658	23947
r144	27093	18592
r145	25456	12413
r146	25854	20808
r147	28566	15746
r148	28660	17608
r149	27078	19127
r150	27487	18897
r151	24528	13695
r152	29305	16557
r153	24467	24138
r154	27343	20000
r155	28146	19992
r156	26921	21499
r157	29106	17435
r158	25201	17499
r159	29231	14830
r160	24713	15696
r161	29727	15526
r162	23371	19547
r163	29374	17178
r164	21545	19051
r165	29409	17076
r166	27530	14614
r167	25693	17496
r168	27493	21547
r169	27823	20713
r170	26487	16668
r171	29357	14929
r172	29306	14995
r173	28690	15252
r174	27325	20053
r175	26606	25949
r176	23104	23124
r177	30187	16001
r178	28767	14779
r179	26638	21465
r180	27250	15613
r181	25052	16689
r182	26835	21550
r183	27573	18450
r184	26749	16193
r185	22136	24696
r186	27133	20284
r187	26584	24766
r188	27502	19821
r189	28915	15863
r190	29459	15606
r191	28965	14178
r192	27359	20000
r193	27045	21950
r194	28298	15012
r195	29090	16301
r196	28848	15867
r197	28603	18201
r198	29456	16183
r199	29657	16383
r200	25846	25894
r201	24628	19173
r202	28740	16339
r203	29459	13370
r204	12603	29525
r205	27645	13166
r206	28697	15420
r207	28559	14611
r208	23086	23082
r209	27416	15557
r210	27167	19477
r211	29545	15356
r212	25665	21921
r213	27161	15478
r214	21093	16586
r215	29276	16692
r216	24239	24242
r217	29193	16292
r218	31378	5810
r219	25205	23884
r220	22593	24361
r221	28127	20049
r222	21503	19805
r223	29410	14772
r224	28846	15764
r225	28378	17054
r226	28635	17617
r227	27004	22050
r228	25080	22864
r229	18755	37080
r230	24379	24309
r231	29517	17044
r232	29320	15472
r233	29353	16724
r234	28649	14744
r235	28204	14840
r236	27484	21511
r237	27445	18211
r238	21870	20910
r239	20982	24740
r240	28580	14684
r241	27550	18418
r242	28574	18011
r243	29193	12685
r244	25902	25928
r245	3469	32048
r246	27505	22161
r247	29191	14275
r248	28177	20039
r249	27413	19466
r250	26222	15298
r251	29308	15064
r252	15633	31101
r253	28679	14455
r254	25731	23900
r255	12583	29508
r256	25675	12382
