restaurant	x	y
r1	8847	9254
r2	7636	5451
r3	10471	7090
r4	4816	7094
r5	979	8026
r6	9487	9199
r7	4986	9255
r8	10140	10626
r9	8756	6945
r10	3062	8823
r11	8644	7006
r12	10931	9287
r13	9966	8354
r14	4725	4202
r15	9104	8821
r16	11125	8879
r17	8709	7172
r18	5037	6848
r19	8839	8798
r20	4857	6810
r21	5078	9004
r22	5042	8335
r23	9341	7002
r24	8864	5589
r25	7680	6538
r26	11778	4474
r27	9488	5614
r28	10118	10504
r29	9792	5869
r30	5257	8283
r31	4974	9001
r32	9597	7637
r33	6188	9340
r34	10311	10169
r35	9124	8870
r36	7963	7792
r37	9758	5961
r38	10249	8935
r39	8878	4771
r40	3249	8799
r41	8147	6732
r42	7328	10844
r43	5328	8727
r44	8836	9706
r45	7596	6555
r46	7776	6862
r47	8400	7022
r48	5333	8779
r49	8681	10392
r50	7060	9546
r51	8713	6630
r52	7747	9210
r53	8833	9388
r54	9982	10718
