order	x	y	placement_time	restaurant	ready_time
o1	25797	12583	3	r1	14
o2	26952	23330	13	r2	41
o3	28904	15086	16	r3	69
o4	28005	15773	18	r4	43
o5	24738	17574	22	r5	32
o6	25798	18550	44	r2	53
o7	25843	18201	45	r6	71
o8	25804	12540	46	r1	81
o9	27234	17766	54	r6	68
o10	26184	14594	59	r7	66
o11	27444	14574	60	r8	75
o12	28798	15178	64	r9	83
o13	29297	13571	64	r10	84
o14	28803	15114	65	r11	95
o15	27812	19878	65	r12	76
o16	28829	15118	66	r13	76
o17	28912	15938	66	r14	84
o18	27928	13940	67	r15	81
o19	26958	21587	68	r16	72
o20	23983	22117	68	r17	79
o21	28855	15154	68	r18	84
o22	28807	15112	71	r19	121
o23	26800	15553	73	r20	83
o24	24929	19827	74	r21	78
o25	27883	15341	75	r22	93
o26	28294	21321	76	r23	89
o27	26441	20134	76	r24	96
o28	21937	19870	78	r25	104
o29	25897	22908	79	r26	97
o30	27528	20993	80	r24	84
o31	29399	14623	80	r9	90
o32	22884	22567	80	r24	110
o33	28840	15102	80	r27	82
o34	27840	16683	82	r28	118
o35	29158	13191	84	r9	94
o36	25744	13918	86	r29	94
o37	26799	14931	87	r30	92
o38	24896	14777	87	r31	102
o39	29677	16186	88	r32	103
o40	30204	16081	88	r33	93
o41	28873	15175	91	r34	106
o42	28928	15448	91	r15	135
o43	29020	15028	92	r35	113
o44	27317	14582	94	r9	104
o45	29759	15348	95	r7	105
o46	28684	14959	95	r9	105
o47	28548	16821	97	r36	133
o48	29094	16025	98	r19	148
o49	29258	14515	99	r37	130
o50	29685	16825	100	r38	110
o51	24809	21473	102	r17	114
o52	26682	16778	103	r39	105
o53	21985	19987	104	r25	139
o54	28895	15041	104	r29	110
o55	28300	15072	105	r40	112
o56	25318	12010	105	r1	119
o57	30259	2828	108	r41	133
o58	28858	15163	109	r9	119
o59	28823	13740	109	r42	137
o60	24991	15580	110	r27	112
o61	28850	17228	110	r43	134
o62	22387	23414	112	r44	127
o63	27459	17056	112	r45	117
o64	23815	24236	115	r46	121
o65	28108	20808	116	r24	118
o66	29072	17494	116	r47	145
o67	29532	16017	116	r9	126
o68	26780	23874	117	r26	130
o69	24407	18309	118	r15	135
o70	29528	12557	118	r9	123
o71	21827	19545	120	r48	139
o72	28635	14567	121	r49	127
o73	28812	15136	123	r13	145
o74	31954	6785	124	r50	138
o75	25181	19203	124	r6	134
o76	28841	15152	124	r48	143
o77	27704	16004	125	r18	157
o78	29974	9296	125	r50	170
o79	27343	22014	127	r24	129
o80	30129	15409	127	r9	137
o81	29053	14940	129	r51	141
o82	25030	16732	130	r15	148
o83	23874	20552	130	r52	141
o84	26041	16083	130	r29	136
o85	26766	25947	131	r16	137
