restaurant	x	y
r1	8819	7278
r2	9304	8179
r3	9286	8080
r4	8731	7129
r5	7756	6809
r6	11149	9216
r7	9070	9362
r8	6540	7819
r9	10452	7876
r10	6249	9685
r11	3165	9185
r12	9160	9598
r13	4807	7400
r14	6939	11022
r15	7774	9341
r16	8802	7420
r17	8913	5926
r18	9042	8159
r19	5063	7244
r20	8897	10013
r21	4944	9536
r22	9083	9321
r23	3228	9194
r24	8838	6300
r25	10387	7943
r26	10255	10797
r27	9858	6091
r28	9455	9677
r29	8896	9688
r30	9532	6969
r31	4577	7177
r32	9852	6307
r33	9854	10594
r34	5103	9257
r35	9588	7896
r36	10382	7949
r37	9983	11042
r38	3904	9042
r39	5871	9118
r40	10472	8817
r41	5321	9077
r42	10269	9451
r43	6608	7887
r44	10226	10772
r45	9160	9135
r46	5030	8612
r47	9394	7347
r48	8760	7000
r49	9524	5940
r50	7678	5734
r51	7761	7109
r52	7431	11096
r53	7705	6828
r54	8868	9569
r55	8735	7274
r56	8824	9134
r57	8865	8388
r58	8853	10032
r59	10046	11041
r60	9553	5923
r61	10284	10476
r62	10243	10731
r63	10352	10621
r64	5157	9083
r65	8031	8088
r66	10168	10994
r67	10502	7387
r68	8691	7298
r69	9003	6808
r70	9056	6461
r71	10200	10720
r72	10058	8676
r73	8891	5067
r74	6958	11133
r75	10144	9317
r76	7074	9804
r77	6662	7855
r78	5294	9134
r79	7393	11179
r80	8955	7080
r81	8249	10908
r82	8669	10785
r83	6594	9786
r84	4824	4488
r85	8158	10997
r86	9785	11778
r87	8747	7267
r88	7715	6892
r89	9113	7423
r90	9585	9454
r91	9661	9206
r92	10311	9187
r93	5285	8590
