courier	x	y	on_time	off_time
c1	8407	7653	0	90
c2	8457	7567	0	240
c3	3926	6433	30	150
c4	6803	8394	60	150
c5	7298	9899	90	180
c6	7342	9874	90	210
c7	7345	9873	90	210
c8	9341	2420	120	240
c9	9390	2481	120	300
c10	7912	8823	120	300
c11	9364	2474	120	360
c12	8311	8620	165	255
c13	7911	6382	165	285
c14	7866	6330	165	285
c15	5992	10151	165	285
c16	6196	10269	195	315
c17	6965	9923	195	315
c18	8200	8670	210	330
c19	7869	6345	255	345
c20	8408	6335	255	345
c21	5268	8766	285	375
c22	5245	8779	285	405
c23	8437	6331	300	420
c24	8246	7146	315	405
c25	3606	6264	330	420
c26	7848	6188	330	420
c27	4409	8137	345	435
c28	9380	2451	360	600
c29	2791	8039	375	465
c30	2739	8066	375	465
c31	9365	2434	390	630
c32	8154	8644	435	525
c33	8123	8671	435	555
c34	4343	7677	450	690
c35	4293	7678	450	690
c36	5630	6893	480	720
c37	5643	6892	480	720
c38	5297	8725	495	675
c39	5243	8699	495	675
c40	9355	9256	495	735
c41	5286	8715	495	735
c42	5236	8740	495	735
c43	2155	8219	525	765
c44	4215	8182	525	765
c45	5944	10157	555	795
c46	8738	10248	555	795
c47	9237	10036	570	660
c48	3768	6261	570	750
c49	3794	6214	570	750
c50	8147	8401	585	765
c51	9064	10051	585	825
c52	8254	7197	585	825
c53	7902	9153	600	780
c54	8139	8372	600	780
c55	7847	6383	630	720
c56	8152	8682	660	840
c57	7918	6399	660	840
c58	8154	11050	780	870
