order	x	y	placement_time	restaurant	ready_time
o1	4502	8653	952	r1	962
o2	9235	10683	1120	r2	1132
o3	8109	10270	1135	r3	1145
o4	9101	10552	720	r4	729
o5	5459	7182	847	r5	862
o6	8473	9448	1309	r6	1340
o7	8256	8269	1285	r7	1303
o8	5551	9008	689	r8	699
o9	8433	9503	941	r9	966
o10	8138	9230	807	r10	822
o11	7732	4357	1064	r11	1071
o12	6729	9290	1058	r12	1079
o13	10665	6232	1135	r13	1156
o14	10485	9464	1102	r14	1107
o15	7872	7370	1048	r15	1063
o16	6480	10948	995	r16	1008
o17	7927	5798	1130	r17	1158
o18	3156	8332	1106	r5	1126
o19	7919	5681	649	r18	656
o20	5183	10048	1023	r19	1039
o21	7746	7817	955	r4	975
o22	10522	7955	1112	r20	1124
o23	8575	9478	666	r21	678
o24	4799	8225	1110	r15	1112
o25	5637	7982	1161	r22	1171
o26	7676	6577	685	r23	691
o27	3981	9428	667	r24	683
o28	6588	6600	984	r25	999
o29	7543	9188	1220	r15	1228
o30	8949	9792	1242	r4	1254
o31	5951	8977	1012	r26	1020
o32	10518	9651	741	r27	760
o33	1137	7655	1109	r28	1139
o34	8452	8720	1313	r22	1318
o35	8782	9419	1000	r29	1009
o36	8242	5423	1032	r30	1039
o37	9525	8707	559	r31	597
o38	8400	9001	905	r32	930
o39	8476	9929	677	r33	715
o40	8343	9942	1031	r34	1068
o41	7032	8255	1220	r22	1230
o42	9646	6493	997	r20	1020
o43	7787	8849	1156	r35	1171
o44	6970	8539	873	r22	883
o45	7986	6604	888	r22	898
o46	10590	8911	1225	r36	1234
o47	6622	8668	1126	r28	1156
o48	5863	9051	752	r37	770
o49	6699	9736	1025	r15	1035
o50	8937	9867	602	r38	624
o51	4287	6856	836	r39	846
o52	5432	8786	1165	r40	1180
o53	8466	9872	751	r41	766
o54	9062	6449	1116	r25	1128
o55	8546	9316	1103	r42	1112
o56	4491	8101	810	r37	821
o57	9012	6139	718	r9	748
o58	9460	9374	830	r8	849
o59	8615	11642	1076	r43	1101
o60	8834	11609	887	r34	896
