restaurant	x	y
r1	10365	9928
r2	8828	7973
r3	9514	10500
r4	9927	7041
r5	8836	7839
r6	4890	5295
r7	8204	11726
r8	7854	10075
r9	10261	11557
r10	7038	11924
r11	7781	7525
r12	9822	10477
r13	10288	11485
r14	8277	7808
r15	6714	8566
r16	10557	8659
r17	8898	10813
r18	10474	8654
r19	5163	7886
r20	10118	9400
r21	7902	7848
r22	4676	7944
r23	8985	10809
r24	8997	10468
r25	5968	9834
r26	9923	6872
r27	9146	7224
r28	10210	11705
r29	5049	9997
r30	9295	9877
r31	7765	6519
r32	6681	8547
r33	8918	10720
r34	7522	11781
r35	9657	9376
r36	8922	7122
r37	7246	11903
r38	11003	7759
r39	8842	7934
r40	10254	11530
r41	5485	9826
r42	5463	9801
r43	9133	7663
r44	8305	11551
r45	7900	9878
r46	11084	10324
r47	10011	10332
r48	9226	10326
r49	9444	8920
r50	10374	10956
r51	9579	7728
r52	9914	11307
r53	5342	9323
r54	10272	10076
r55	8876	8067
r56	9777	11978
r57	5060	10257
r58	8923	11240
r59	7729	7378
r60	9672	8632
r61	9610	10256
r62	9009	7856
r63	6646	11751
r64	2467	9152
r65	8974	6568
r66	9485	12810
r67	10367	4142
r68	10359	11482
r69	9504	8042
r70	10078	11800
r71	10408	4116
r72	9290	8845
r73	9986	11881
r74	9593	6685
r75	9934	10202
r76	3192	9941
r77	3385	9925
r78	10173	11312
r79	7742	7849
r80	3932	7825
r81	8859	8168
r82	8992	10263
r83	4949	8106
r84	5082	7898
r85	10559	8069
r86	10544	8606
r87	7916	7531
r88	10104	11760
r89	8810	8003
r90	9832	12457
r91	8807	6543
r92	5202	10052
r93	9244	10120
r94	7999	11661
r95	10349	10191
r96	8246	11678
r97	10398	11279
r98	7860	10223
r99	9466	10058
r100	5124	9987
r101	6640	8579
r102	9226	8132
r103	8920	5670
r104	1097	9067
r105	9657	12561
r106	11905	5524
r107	10181	11686
r108	7295	11854
r109	10496	9576
r110	9908	10860
r111	9226	12741
r112	9272	5142
r113	6714	8611
r114	9201	10051
r115	8923	10693
r116	7123	10582
r117	9437	9264
r118	8962	7142
r119	10046	11732
r120	9112	10607
r121	8770	11486
r122	4390	7849
r123	8832	7666
r124	7834	10318
r125	5001	7859
r126	3903	6795
r127	5292	9859
r128	9762	11983
r129	4968	7779
r130	3972	9788
r131	3380	9628
r132	10560	10209
r133	3812	9682
r134	9190	8404
r135	8583	8044
r136	8057	8835
r137	9724	6697
r138	9013	5793
r139	7099	11837
r140	6582	8581
r141	8129	10297
r142	8917	5727
r143	8944	10590
r144	10029	11850
r145	4835	7945
r146	10663	8174
r147	8975	10783
r148	8929	7462
r149	7244	11874
r150	4734	7441
r151	3087	9642
