restaurant	x	y
r1	19707	14853
r2	20106	15848
r3	15351	16051
r4	19639	12861
r5	14612	18610
r6	14667	16391
r7	18413	19609
r8	17427	19704
r9	18225	20129
r10	16659	20457
r11	19608	13703
r12	17227	20886
r13	18186	20481
r14	8687	29060
r15	14598	18830
r16	15862	19338
r17	18546	13115
r18	15647	17683
r19	16177	21849
r20	11383	24069
r21	19303	14110
r22	19699	14402
r23	18912	13986
r24	19430	15752
r25	17851	18276
r26	16018	23346
r27	13521	18411
r28	17871	15042
r29	13085	18474
r30	17868	17840
r31	15451	22335
r32	17232	11816
r33	16958	20930
r34	17712	19400
r35	15433	17494
r36	18481	19460
r37	17353	21467
r38	13473	21716
r39	19502	16601
r40	15913	17291
r41	16009	23348
r42	18190	20415
r43	18257	20763
r44	2926	28904
r45	18268	20095
r46	16144	18217
r47	17061	11801
r48	19797	12856
r49	19008	11336
r50	19201	15187
r51	19990	16259
r52	14552	23705
r53	5980	30558
r54	19228	15276
r55	19629	12955
r56	13589	20916
r57	17856	14077
r58	19559	13676
r59	17406	20295
r60	17349	21485
r61	17815	13999
r62	17905	14858
r63	14794	23684
r64	17092	20055
r65	20041	14954
r66	17557	8821
r67	18371	15208
r68	19733	16331
r69	20480	15441
r70	14773	23722
r71	19765	16245
r72	17856	20974
r73	16670	15398
r74	18055	12579
r75	15663	17689
r76	15023	20047
r77	18555	19136
r78	12853	23720
r79	17420	20530
r80	16387	14413
r81	14328	23280
r82	17325	14454
r83	18169	20711
r84	16817	23623
r85	18141	20151
r86	19482	15851
r87	17672	19415
r88	17444	21324
r89	19460	15388
r90	15459	17208
r91	17933	17937
r92	19771	16554
r93	19371	15488
r94	12911	19702
r95	15210	16884
r96	16838	13091
r97	19203	15321
r98	15996	21346
r99	19523	15703
r100	16595	20855
r101	17575	9600
r102	13667	19160
r103	19895	16397
r104	13617	19219
r105	13733	18442
r106	16246	25329
r107	11967	18491
r108	16638	14715
r109	18724	18530
r110	19048	15902
r111	17924	21541
