courier	x	y	on_time	off_time
c1	11901	4505	0	90
c2	8593	141	0	90
c3	3009	12452	30	210
c4	11539	2739	90	210
c5	11545	2754	90	210
c6	12555	8985	90	270
c7	12568	9018	90	270
c8	6602	6164	90	270
c9	12590	9001	90	270
c10	5097	11020	90	270
c11	12182	2611	90	270
c12	12188	2600	90	270
c13	199	9072	90	270
c14	3668	5022	90	270
c15	2097	8556	90	270
c16	200	9021	90	270
c17	3654	5038	90	270
c18	3956	9446	90	270
c19	14744	4595	90	270
c20	11228	927	90	270
c21	9352	4548	90	270
c22	7915	9132	90	270
c23	7980	9124	90	270
c24	9275	4595	90	270
c25	9826	9619	90	293
c26	14372	2631	210	330
c27	4964	1808	210	330
c28	7005	1741	270	450
c29	7011	1818	270	450
c30	14960	3076	270	450
c31	0	10283	270	450
c32	6946	1748	270	450
c33	14939	3014	270	450
c34	5	10312	270	450
c35	6977	1805	270	450
c36	14966	3069	270	450
c37	8501	10078	270	450
c38	10680	7395	390	510
c39	10666	7321	390	510
c40	440	4984	400	450
c41	13264	2753	450	560
c42	3878	12725	450	630
c43	13031	7862	450	630
c44	6217	6625	450	630
c45	8038	0	450	630
c46	13291	3396	450	630
c47	10365	10676	450	630
c48	6253	6684	450	630
c49	9760	3818	450	630
c50	13734	2546	450	630
c51	13713	5037	450	630
c52	5001	6524	450	630
c53	10416	10647	450	630
c54	9779	3832	450	630
c55	6253	6650	450	630
c56	6614	6270	450	630
c57	10370	10655	450	630
c58	10391	10692	450	630
c59	11933	357	450	630
c60	3253	9920	450	630
c61	3337	9926	450	630
c62	3896	12684	450	630
c63	5630	1898	450	630
c64	9781	3845	450	630
c65	9787	10152	450	645
c66	4025	12004	510	630
c67	9409	7498	510	630
c68	12087	305	510	630
c69	3981	12092	510	630
c70	12274	6083	510	690
c71	13468	7413	510	690
c72	5936	1788	510	690
c73	4676	6093	510	690
c74	12956	3283	510	690
c75	12926	3280	510	690
c76	4697	6147	510	690
c77	12893	3352	510	690
c78	12812	3472	510	690
c79	9009	2554	510	690
c80	14001	6192	510	690
c81	8238	5934	510	690
c82	8208	5944	510	690
c83	13920	6201	510	690
c84	12947	3365	510	690
c85	3058	12530	510	690
c86	12941	6593	510	690
c87	13106	7424	510	690
c88	906	11077	510	690
c89	9040	2572	510	690
c90	3281	11741	510	690
c91	4382	2097	510	690
c92	3318	11784	510	690
c93	2307	2861	630	702
c94	4077	8099	630	750
c95	5418	12960	630	750
c96	15002	3002	630	750
c97	7883	8930	630	750
c98	8338	9241	630	750
c99	5434	12905	630	750
c100	6960	5453	630	750
c101	5424	12893	630	750
c102	4444	11786	630	750
c103	14971	3010	630	750
c104	14959	2992	630	750
c105	12167	4754	690	810
c106	5179	4549	690	810
c107	7829	6196	690	810
c108	5240	4495	690	810
c109	10975	9567	690	810
c110	8460	3321	690	810
c111	7310	7560	690	840
c112	5193	6702	690	840
c113	3429	11702	690	840
