restaurant	x	y
r1	7874	6533
r2	6663	2738
r3	9528	4304
r4	3846	4328
r5	0	5254
r6	8556	6444
r7	4002	6422
r8	9153	7862
r9	7808	4243
r10	2142	6118
r11	7743	4199
r12	9981	6562
r13	9051	5634
r14	3847	1422
r15	8140	6017
r16	10144	6067
r17	7710	4396
r18	4047	4119
r19	7832	6039
r20	3836	4071
r21	4092	6212
r22	4048	5564
r23	8364	4272
r24	7896	2767
r25	6746	3756
r26	10807	1645
r27	8499	2870
r28	9205	7755
r29	8875	3056
r30	4248	5570
r31	4019	6192
r32	8611	4848
r33	5236	6608
r34	9277	7420
r35	8123	6100
r36	7046	4983
r37	8832	3244
r38	9349	6195
r39	7897	1987
r40	2298	6047
r41	7171	4050
r42	6334	8115
r43	4278	6005
r44	7826	6942
r45	6671	3770
r46	6791	4020
r47	7490	4170
r48	4375	5948
r49	7729	7618
r50	6078	6762
r51	7722	3887
r52	6800	6507
r53	7838	6707
r54	8986	7973
