restaurant	x	y
r1	28850	11752
r2	31384	13223
r3	27486	16692
r4	28958	16955
r5	26049	21171
r6	23752	21540
r7	26704	15094
r8	26179	10518
r9	30975	13550
r10	26776	15084
r11	28493	18381
r12	30900	11177
r13	29852	10559
r14	27987	17894
r15	30627	11567
r16	15349	42117
r17	27400	18377
r18	33986	2828
r19	28856	18661
r20	28234	15904
r21	33410	2781
r22	27305	20819
r23	26827	14300
r24	29169	15707
r25	29817	16655
r26	28668	18653
r27	26754	15967
r28	27416	19351
r29	17255	27991
r30	25700	14336
r31	30142	16101
r32	27880	19166
r33	30261	11449
r34	14296	26368
r35	28293	18395
r36	28887	14973
r37	30902	11670
r38	29015	12526
r39	31154	13856
r40	30298	14401
r41	28889	7060
r42	30585	14340
r43	24886	18383
r44	26960	19978
r45	27123	9247
r46	5422	32384
r47	14623	35327
r48	27006	15145
r49	30990	11702
r50	28960	16017
r51	26286	20806
r52	28762	15430
r53	30939	13593
r54	28325	19481
r55	25645	20785
r56	23452	16497
r57	31003	13785
r58	30752	11111
r59	29583	17562
r60	18015	26461
r61	30752	14112
r62	27011	20828
r63	27354	20817
r64	29181	12469
r65	5165	28937
r66	26036	21170
r67	22696	21592
r68	25169	21562
r69	29448	16466
r70	30536	12704
r71	26290	17506
r72	31114	13388
r73	28481	9281
r74	28662	11938
r75	25110	16449
r76	32385	3910
r77	24753	20037
r78	25881	16308
r79	29542	18084
r80	29359	10016
r81	31038	10136
r82	24791	19141
r83	29752	16809
r84	30936	11825
r85	31097	10321
r86	29466	18253
r87	26216	8209
r88	28459	11798
r89	32984	2710
r90	29733	12752
r91	29160	16057
r92	29176	15063
r93	28855	16431
r94	23544	20810
r95	30635	11033
r96	29878	12142
r97	30308	15103
r98	28859	17619
r99	28397	9303
r100	30793	12897
r101	30333	15267
r102	29202	15361
r103	30758	13211
r104	25413	21291
r105	29799	16919
r106	27214	14325
r107	31399	13132
r108	30662	12774
r109	28773	15984
r110	28107	10493
r111	27943	12148
r112	26710	16202
r113	24941	16707
r114	28569	19085
r115	28438	17482
r116	34374	2726
r117	18619	29646
r118	26224	8236
r119	30343	13195
r120	31753	12899
r121	28388	13047
r122	33722	2788
r123	30308	8796
r124	29557	17838
r125	27650	11851
r126	30543	12835
