restaurant	x	y
r1	10201	10977
r2	10357	10735
r3	9231	9590
r4	10391	10704
r5	2523	8381
r6	9230	7600
r7	4094	8992
r8	8001	9250
r9	10480	10171
r10	4687	7083
r11	9673	6935
r12	4783	9207
r13	9230	6438
r14	9889	11182
r15	8982	9947
r16	7543	11068
r17	8935	7026
r18	9267	7368
r19	9268	9627
r20	10591	7771
r21	8150	8005
r22	8984	7271
r23	8333	7040
r24	6744	7801
r25	9244	9301
r26	6642	10923
r27	10208	10344
r28	3329	9108
r29	9186	6660
r30	10362	9283
r31	10939	9636
r32	9615	9633
r33	10702	7329
r34	9359	8023
r35	9107	7035
r36	9009	6235
r37	4743	9198
r38	8828	7266
r39	4968	4451
r40	6408	9603
r41	10017	6073
r42	7946	9109
r43	9927	9682
r44	10280	10934
r45	10598	7926
r46	5448	8992
r47	9065	5050
r48	11270	8925
r49	7369	11104
r50	5251	9206
r51	5396	8590
r52	7222	11105
r53	9368	9499
r54	5039	7326
r55	5268	9226
r56	9029	9648
r57	10037	6203
r58	5654	2693
r59	9293	9084
r60	9851	11247
r61	10151	10949
r62	8025	9507
r63	9043	5809
r64	4034	8919
r65	6803	7764
r66	8938	7403
r67	9506	9547
r68	10264	9248
r69	9509	8158
r70	9040	10020
r71	9042	9853
r72	10170	10915
r73	8993	9943
r74	8879	7224
r75	6687	7762
r76	9528	8516
r77	10315	10908
r78	9597	11951
r79	5135	7098
r80	8891	7157
r81	8084	10865
r82	9316	9306
r83	9720	5903
r84	7791	6583
r85	7909	6790
r86	8214	7974
r87	9671	9380
r88	11126	9555
r89	9126	9167
r90	7646	10966
r91	9930	10513
r92	5024	6971
r93	8984	4931
r94	10615	8681
r95	6044	9004
r96	10209	10454
r97	10455	9193
r98	10426	9391
r99	7906	7015
r100	9233	5750
r101	10051	10000
r102	7908	9454
r103	5372	9018
r104	10581	7856
r105	8902	6860
r106	7853	5720
r107	9066	10012
r108	9236	6694
r109	8952	4871
r110	8961	11831
r111	10190	8569
r112	7293	11134
r113	10096	11022
r114	8996	6398
r115	8201	9489
r116	3814	7057
r117	10086	11023
r118	9042	6294
r119	10465	3301
r120	3493	8911
r121	11927	4699
r122	5565	8987
r123	5154	9185
r124	11051	6936
r125	5182	9475
