courier	x	y	on_time	off_time
c1	21863	15564	0	180
c2	20763	14964	0	180
c3	21599	16041	0	180
c4	22179	14857	0	180
c5	21809	15544	0	180
c6	21575	16077	0	180
c7	14599	19445	0	180
c8	18352	17390	0	180
c9	27683	5086	0	240
c10	18196	6573	0	240
c11	20564	0	0	240
c12	20252	10992	60	240
c13	25980	11076	60	240
c14	22466	15130	60	240
c15	26264	8325	60	240
c16	23479	14816	60	240
c17	26328	8403	60	240
c18	23441	14775	60	240
c19	16436	21901	60	240
c20	15921	9835	60	240
c21	23126	14788	60	240
c22	15290	7248	60	240
c23	22602	8549	60	240
c24	22368	8191	60	240
c25	23512	14867	60	240
c26	18063	21003	60	240
c27	17265	12800	60	240
c28	15709	20807	60	240
c29	20308	8043	60	240
c30	17647	12333	60	240
c31	6061	23224	60	240
c32	15251	7207	60	240
c33	15484	21646	60	240
c34	18992	8915	60	240
c35	22561	8477	60	240
c36	22604	8504	60	240
c37	19042	21810	60	240
c38	19283	12478	60	240
c39	22466	15135	60	240
c40	19972	21042	60	264
c41	22378	7940	60	265
c42	25810	13274	60	300
c43	22483	20772	60	300
c44	24891	7761	60	390
c45	15499	16069	60	480
c46	23078	12804	120	240
c47	15196	20562	120	255
c48	23712	7900	120	360
c49	14509	17974	120	360
c50	14530	17995	120	360
c51	20289	10732	120	360
c52	23765	7958	120	360
c53	18563	18753	150	300
c54	22437	18004	180	360
c55	19479	14305	180	420
c56	18112	13499	180	420
c57	14518	15365	180	420
c58	19472	14323	180	420
c59	17919	12397	180	420
c60	18000	12355	180	420
c61	18438	5994	180	450
c62	20992	16034	180	480
c63	21441	14129	210	420
c64	14674	10540	240	360
c65	16531	20028	240	377
c66	19720	11284	240	390
c67	23434	8675	240	420
c68	23558	12605	240	420
c69	17775	17340	240	420
c70	16051	10050	240	420
c71	21008	13132	240	420
c72	17380	11704	240	420
c73	16561	6594	240	420
c74	15479	15420	240	420
c75	24350	13484	240	420
c76	20975	13093	240	420
c77	17833	17364	240	420
c78	18053	11928	240	420
c79	17541	9499	240	420
c80	23226	15081	240	420
c81	23389	10325	240	420
c82	18425	16237	240	420
c83	7375	28775	240	420
c84	26503	13836	240	420
c85	14710	9094	240	420
c86	15003	7429	240	480
c87	15617	5648	240	480
c88	15626	5678	240	480
c89	19055	14179	240	480
c90	22803	14161	300	420
c91	22800	14233	300	420
c92	18853	12086	360	600
c93	21025	13381	360	600
c94	25666	14445	360	600
c95	25220	10219	360	600
c96	21010	13411	360	600
c97	21910	11756	390	450
c98	14613	18141	390	613
c99	17992	9211	390	630
c100	17955	9050	390	630
c101	15352	15676	390	630
c102	22116	12342	390	630
c103	15006	19051	390	630
c104	18531	20782	390	630
c105	19745	18220	390	657
c106	19075	20659	390	660
c107	24202	10315	420	480
c108	15417	14214	420	540
c109	19088	20944	420	585
c110	8454	27395	420	630
c111	20382	2051	420	645
c112	20547	12450	420	660
c113	14786	752	420	660
c114	19460	7162	420	660
c115	24125	9353	420	660
c116	24580	19899	420	660
c117	14766	831	420	660
c118	16181	14851	420	660
c119	14646	8019	420	660
c120	23385	14990	420	660
c121	0	30016	420	660
c122	17776	18507	420	660
c123	15565	13188	420	660
c124	8022	25898	420	660
c125	27382	9926	420	660
c126	24050	15540	420	660
c127	16089	21837	420	660
c128	9324	20302	420	660
c129	23092	16722	420	660
c130	15208	15047	420	660
c131	15975	10345	420	660
c132	23400	20497	420	660
c133	24545	19893	420	660
c134	24165	9371	420	660
c135	14610	8034	420	660
c136	17790	13479	420	660
c137	24182	9351	420	660
c138	20497	12480	420	660
c139	20868	9597	420	660
c140	16237	11304	420	680
c141	23547	12350	420	725
c142	22237	14539	420	765
c143	20808	10492	420	780
c144	16999	10387	435	690
c145	26800	11459	450	480
c146	22538	21585	450	660
c147	24682	10631	450	690
c148	16339	6048	450	690
c149	24669	10696	450	690
c150	24769	8035	450	690
c151	19677	14925	450	765
c152	15251	14372	465	630
c153	15178	12615	480	560
c154	23192	18289	480	600
c155	17733	10097	480	615
c156	22889	9234	480	660
c157	16288	16129	480	690
c158	21877	19459	480	690
c159	15633	10472	480	705
c160	24331	11943	480	720
c161	17081	12400	480	720
c162	24331	11946	480	720
c163	14434	18757	480	750
c164	14493	18822	480	750
c165	24527	15076	480	780
c166	14470	20724	480	825
c167	20927	6703	510	750
c168	20955	6684	510	750
c169	20859	13571	510	750
c170	21907	20226	510	750
c171	21494	12232	510	765
c172	20137	7253	510	780
c173	23531	21516	540	780
c174	17847	12229	600	780
c175	19181	6769	660	720
c176	17070	20896	660	750
c177	21273	18973	660	750
c178	26082	7346	660	780
c179	20912	3424	660	810
c180	22563	13172	660	810
c181	21331	10903	660	810
c182	13124	30831	660	810
c183	22607	13113	660	810
c184	19740	18485	660	810
c185	23377	15350	660	810
c186	25376	11636	690	810
c187	16567	8987	705	750
c188	15560	17157	705	810
c189	25781	11383	735	750
c190	20588	11722	735	810
