restaurant	x	y
r1	16565	20507
r2	13834	17910
r3	14255	17636
r4	14490	18617
r5	15279	18783
r6	17719	14936
r7	13300	11092
r8	17708	17304
r9	11884	21226
r10	14938	21716
r11	13812	17899
r12	16497	21609
r13	17442	14128
r14	12698	17207
r15	17405	14366
r16	18260	16678
r17	13499	17231
r18	14477	21230
r19	12908	23481
r20	17991	14455
r21	20756	5621
r22	15710	21604
r23	17689	15747
r24	15193	13412
r25	16232	17879
r26	17382	16213
r27	13985	18074
r28	17447	11728
r29	17689	15800
r30	17384	14198
r31	21451	5614
r32	14485	24493
r33	18409	15980
r34	16257	17311
r35	13017	18931
r36	13985	17828
r37	16256	19704
r38	16401	20501
r39	14979	22075
r40	18107	16337
r41	14567	20443
r42	16833	14889
r43	13735	19944
r44	15162	24063
r45	10501	19420
r46	17332	14373
r47	13059	24129
r48	13987	18035
r49	15910	21627
r50	16196	15273
r51	17654	14459
r52	14547	17199
r53	13852	22678
r54	13768	16413
r55	17978	13237
r56	15529	12165
r57	16574	20826
r58	10564	23633
r59	17878	16245
r60	16535	15635
r61	16836	14640
r62	16833	14873
r63	16714	15655
r64	12086	18786
r65	13126	11082
r66	18011	12980
r67	9999	20414
r68	16475	19351
r69	13818	17964
r70	19643	283
r71	13317	13479
r72	14569	25394
r73	16604	21127
r74	18027	16445
r75	13935	16385
r76	16565	20710
r77	14930	19650
r78	16171	19007
r79	13860	17964
r80	18074	15216
r81	16753	19926
r82	14518	22203
r83	11828	22052
r84	13221	11050
r85	16552	20142
r86	18327	15318
r87	16710	20476
r88	16186	15351
r89	14220	19663
r90	17999	14764
r91	11822	18865
r92	15850	14640
r93	17320	17339
r94	18113	16673
r95	15879	10009
r96	15854	17887
r97	16031	21253
r98	14746	14757
r99	16597	20856
r100	15716	14762
r101	16810	14616
r102	10938	18742
r103	17885	14046
r104	17276	14310
r105	15831	18292
r106	14757	23667
r107	12960	19168
r108	15735	20705
r109	13767	17991
r110	16523	21021
r111	11421	18829
r112	16864	19674
r113	17180	19051
r114	14970	12088
r115	16220	14440
r116	17613	15724
r117	14237	19730
r118	17979	13603
r119	14139	18050
r120	12183	24458
r121	18770	15148
r122	15035	15759
r123	16909	19495
r124	16492	20499
r125	17809	17022
r126	17721	14510
r127	11267	20088
r128	10945	26138
r129	17936	16077
r130	7040	29396
r131	21096	5710
r132	17354	16273
r133	17235	15255
r134	16823	20478
r135	16852	14816
r136	15063	20795
r137	13508	22891
r138	14942	21224
r139	15987	9210
r140	13352	20468
r141	16888	13470
r142	15527	15368
r143	14382	23697
r144	15800	18343
r145	14225	12186
r146	14588	20573
r147	17270	15544
r148	17292	17442
r149	15811	18845
r150	16221	18615
r151	13259	13437
r152	17972	16305
r153	13163	23938
r154	15979	19854
r155	16854	19760
r156	15715	21282
r157	17865	17277
r158	13941	17218
r159	17965	14591
r160	13425	15524
r161	18359	15296
r162	12085	19267
r163	18064	16967
r164	10325	18817
r165	18048	16872
r166	16205	14370
r167	14343	17307
r168	16141	21336
r169	16576	20522
r170	15144	16384
r171	18084	14708
r172	17955	14806
r173	17379	15004
r174	16053	19809
r175	15305	25711
r176	11783	22924
r177	18888	15814
r178	17427	14495
r179	15326	21227
r180	15904	15368
r181	13790	16418
r182	15576	21261
r183	16184	18183
r184	15449	15982
r185	10836	24412
r186	15807	20016
r187	15352	24598
r188	16189	19592
r189	17668	15607
r190	18100	15327
r191	17681	13947
r192	16110	19753
r193	15724	21775
r194	16977	14714
r195	17826	16026
r196	17574	15647
r197	17277	17985
r198	18187	15884
r199	18345	16094
r200	14629	25707
r201	13342	18874
r202	17446	16112
r203	18103	13160
r204	1375	29262
r205	16401	12938
r206	17423	15133
r207	17215	14360
r208	11739	22922
r209	16166	15396
r210	15862	19344
r211	18192	15087
