courier	x	y	on_time	off_time
c1	1218	7852	330	510
c2	11000	9569	330	510
c3	3818	202	330	510
c4	13879	2753	510	630
c5	4246	4764	510	630
c6	12372	4139	540	630
c7	10635	10478	540	630
c8	2922	1737	540	630
c9	10530	12352	540	630
c10	10702	10476	540	630
c11	13931	6457	570	750
c12	8265	11491	570	750
c13	8268	11429	570	750
c14	4142	906	600	780
c15	4128	890	600	780
c16	11633	3990	630	810
c17	11476	7259	630	810
c18	1728	7215	630	810
c19	12613	7945	630	810
c20	11053	7700	630	810
c21	7952	12350	630	810
c22	2805	5248	630	810
c23	6742	3471	630	810
c24	7719	2757	630	810
c25	4198	7437	630	810
c26	7922	12112	630	810
c27	1790	7147	630	810
c28	7246	6522	630	810
c29	11491	7292	630	810
c30	10980	273	630	810
c31	13802	1111	630	810
c32	2876	4563	630	810
c33	8229	10175	630	810
c34	11126	9354	630	810
c35	10605	8257	660	780
c36	7665	2998	720	780
c37	9725	9226	750	810
c38	10891	817	810	990
c39	172	4634	810	990
c40	14011	5478	810	990
c41	8633	876	810	990
c42	2356	7653	810	990
c43	13820	3948	810	990
c44	10313	11588	810	990
c45	10237	10267	810	990
c46	9792	3854	810	990
c47	12072	5010	810	990
c48	11183	5565	810	990
c49	8049	4407	810	990
c50	13420	5337	810	990
c51	8242	2033	810	990
c52	5039	11455	810	990
c53	4683	6497	990	1170
c54	3207	9563	990	1170
c55	7564	8789	990	1170
c56	1288	4382	990	1170
c57	9208	5634	990	1170
c58	894	8229	990	1170
c59	2657	7243	990	1170
c60	13931	2321	990	1170
c61	1285	4422	990	1170
c62	2592	5681	990	1170
c63	2612	5658	990	1170
c64	5865	4600	990	1170
c65	3467	3375	990	1170
c66	9219	5604	990	1170
c67	12948	1240	990	1170
c68	9797	2487	990	1230
c69	11894	6589	990	1230
c70	10618	3188	990	1230
c71	7210	6511	990	1230
c72	3940	3278	990	1230
c73	7226	6546	990	1230
c74	8459	11216	990	1230
c75	8456	11290	990	1230
c76	990	5074	990	1230
c77	3	7450	1050	1170
c78	0	7432	1050	1170
c79	12924	6273	1050	1230
c80	1735	10704	1050	1230
c81	1770	10732	1050	1230
c82	10197	10900	1050	1230
c83	7221	9698	1050	1230
c84	6517	7216	1050	1230
c85	3662	9015	1050	1230
c86	7223	9737	1050	1230
c87	11317	7707	1170	1230
c88	5797	5518	1170	1290
c89	9345	6553	1170	1290
c90	9295	6526	1170	1290
c91	9997	0	1170	1290
c92	3290	2988	1170	1290
c93	9518	11221	1170	1290
c94	2797	10347	1170	1365
c95	7352	6573	1230	1350
c96	7411	775	1230	1350
c97	7377	754	1230	1350
c98	2354	4605	1230	1350
c99	8012	6227	1230	1350
c100	1604	8341	1230	1350
c101	2761	8317	1230	1380
c102	8483	3917	1230	1380
c103	12918	5748	1230	1406
