restaurant	x	y
r1	9798	9395
r2	8385	8197
r3	7057	7804
r4	7824	11590
r5	9602	7033
r6	9251	9145
r7	7865	9302
r8	8156	7113
r9	6148	10936
r10	8167	8803
r11	7989	6404
r12	10028	9263
r13	8302	9261
r14	8386	6983
r15	7895	6996
r16	7949	9780
r17	6793	6489
r18	9018	10710
r19	4215	8801
r20	8866	9438
r21	4045	6880
r22	4057	8932
r23	9155	10627
r24	8213	9341
r25	6460	10773
r26	6858	8993
r27	9365	9856
r28	7975	9421
r29	8516	9432
r30	8609	6697
r31	7903	5538
r32	7823	7136
r33	7079	9311
r34	7888	6065
r35	6705	6345
r36	8116	6157
r37	8398	9247
r38	7037	7755
r39	3647	6808
r40	3707	8974
r41	8717	10929
r42	8291	7809
r43	4453	8717
r44	8832	11469
r45	6204	10874
r46	7203	10665
r47	2869	6741
r48	6996	10545
r49	8630	9172
r50	6817	9231
r51	6109	10799
r52	4599	2437
r53	8924	5985
r54	4143	6861
r55	7922	9738
r56	9249	10673
r57	8098	5499
r58	5227	7481
r59	9049	10728
r60	8490	11722
r61	7940	9721
r62	7942	6035
r63	8468	9063
r64	2639	6775
r65	4140	9009
r66	7815	6944
r67	2121	8561
r68	8186	11689
r69	9383	3112
r70	9122	10169
r71	7807	6781
r72	8007	6780
r73	8598	8292
r74	7497	6969
r75	9364	10258
r76	7924	4733
r77	8924	9296
r78	7911	11518
r79	7814	10125
r80	5518	7458
